,,,Predictable (1),Effective (2),Satisfaction (2),Trust (2),Efficient (2),Vector: ,Invoke (1),Row Range, Predictable (0), Effective (1), Satisfaction (0), Trust (0), Efficient (2),Not Predictable (1),Not Effective (1),Not Satisfaction (2),Not Trust (2),Not Efficient (0),Refactorings
We just need to inline this one. There might be a tool that does it i don't know. [1:32:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In theory if you only want the behavior change what we did in the beginning would be enough because we cannot use it any more. But of course it is not good refactoring you should clean up.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
How come the second one is not the error as opposed to the first one. I would expect the second to be the error. [1:33:29] As opposed to inlining I just remove it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Why is the error still there? ReadField? How is this different to this one. There are now three. [1:34:08],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: They have different types. [1:34:15],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So in this case I don't need both.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Point is I remove this one where is this defined how do I go there. [1:34:46],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Which method is this one in conflict with. [1:35:04],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
What actually changed here? [1:35:33],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Still an error...,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Anyway we can continue but I would just do this and if there is a large volume i would investigate the tools to try and automate this stuff. Something may be, stop using a variable, like inserting a value at the beginning. Another would be stop calling the function with this variable. which is find all callers to this method and remove it. and then remove the variable from the .. it is optional .. if the tool is reliable you can do both at once. The part where it does not really work is where you need to change the body to stop using it. Sometimes there is a boolean expression with logical operations and there could be more complex examples. [1:37:40]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: can you summarise the code changes you did in order to solve this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Stop using the function argument. Short circut it to the variable that used to come from outside it just gets a value assigned. That is a first step and I run the tests. Some tests already fail that tested the other path I made sure they are tests we don't care about. [1:38:18],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The next step is to change the input to the function and change everything that fails. The next step is actually to remove in the body stop using the argument not in terms of hardcoding it but see at all the places it is used and refacor the actual if-statements and the argument in other functions stop using it. And the last step is removing the argument from the method signatures and again changing all the callers. [1:39:02],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then it is the inline step and update the documentation. And of course in the real world show that no consumers will be impacted by this change. [1:39:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If you were doing this kind of change during your work how would you keep track of the different code changes? [1:39:28],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would make intermediate commits in git. Before you merge you can just squash them together. For me I may make one for each small thing I may want to revert of when the tests are working. [1:39:54],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If I try one change and it works and I apply it to ten other things it can be one thing. Even though the scope is different it logically is the same.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If I make a kind of qualitative change like a change in the logic the first one would catch some logic problem that is wrong in principle and then I may make a mistake in the scaling approach. Git is one example - this is what git is for.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any automated tools in the IDE you would use to help you? [1:40:42],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I haven't personally used IDEs that much but some people do. Some things - basic things like rename method extract method there may be tools in your IDE. For this one I am sure there is a tool that removes a function argument but I'm not sure.. I'd have to test it. Everything I have do so far can be automated easily but I'm not sure if someone would make a tool that works in a general case. [1:41:26],"Reflection
Not Trust
 (“I’d have to test it”)",,0,0,0,1,0,"<0,0,0,1,0>",0,201-201,0,0,0,0,0,0,0,0,1,0,
I: Would you still use it if it did not support complex cases?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If the quantity of work was like this I would not. [1:41:54],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Unless I had to do this like five times a day. The volume times the frequency. [1:42:08],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ultimately how much time do I spend on doing this. If I do something very often or it is very big I am more insentiviced. [1:42:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
When you change something there may be a risk for side effects that is why I am weary to trust the tool and using it. [1:42:46],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It sounds like you are unlikely to trust the tool?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That is too strong a statement. If it is small changes I can just do it by hand. If I am wasting too much time then I would do it. [1:43:29],"Reflection
Efficient
 (“If I am wasting too much time then I would do it.”)",,0,0,0,0,1,"<0,0,0,0,1>",0,208-208,0,0,0,0,1,0,0,0,0,0,
I: What were some repetitive things you were doing in these tasks?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The last one was particularly annoying there were eight functions that had a small amount of things like removing the parameter but some things were different like som places I had to rewrite the conditional to a smaller one and some I had to stop using the argument so the overall goal was the same but the changes were different.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If you were able to use a tool that did those things and you ran the tests and it worked would you trust it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes if I trusted the tests. And then it is the problem of clients which you said which is difficult to measure.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: In this case as well you had a particular order of doing things. It seemed that the order made compile errors appear which helped you with your progress. Would you mind explaining that? [1:45:21],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
When you have compile errors or test errors then they tell you about the state of the system. It is very convenient to leverage that. Sometimes I intentionally want to get something to a failing state which again then I look at what fails. If it is a compile error it is a syntax error and if the compiler pass and the tests fail I can test which logic errors happened. In the real world this happens often I change something I think is a boolean logic but there is some app... but sometimes the absence of an error is as bad as the error. When you do TDD there is a bunch of refactoring but there is always the risk of it not being covered so if you change it to be intentionally wrong you know that it is tested. [1:46:49],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
then you can change it to be what you want after. You want to see a pass after a failure not always passing. [1:46:56],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If you are using a tool for example a refactoring tool how would you gain the same assurance from it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would do the same thing. The refactoring tool would automate the code I am doing - again this is why it is clunky to run some big thing that changes thousands of lines of code because then it's like what do I test? Maybe I do one manually and then apply automated and then do a couple of spot checks.,"Reflection
Not Satisfaction
 (“it is clunky”)
 Not Trust 
 (“what do I test”)",,0,0,1,1,0,"<0,0,1,1,0>",0,217-217,0,0,0,0,0,0,0,1,1,0,
I: What do you mean with spot checks?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If I change 100 functions I would flip the logic in say five of them and see that I get five different errors. [1:47:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The other option is to look at the test. Everyone say to look at the tests. You say the test file houndreds of tests how do you even know which test to look at. If you are writing it sure but when it is already there you don't know where to look. I find my approach higher quality than just looking at the test. Of course if the tests fails you will look at it but for regression tests .. it is fine to test for behavior it is hard for regression testing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: During the second task we talked about the inline method refactoring. Did you consider using it here?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I just did.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes manually. Did you consider checking the refactoring menu. [1:49:46] Why did you not consider using it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So I would inline this into this.. How would I do this? I have never used this before. Here is the refactoring menu. So it says it has 20 occurrances. What do I even do here? This is like - this is not even the function it is usages of it? Will this change the invocation? This is not what I want. This is already discouraging me from pursuing it forward. Only if I discover that what I want to do is impossible or taking too long then I would research.,"Invocation
Not Predictable
 (“What do I even do here”)
 Not Satisfaction 
 (“already discouraging me from pursuing it forward”)
 Not Effective 
 (“This is not what I want. “)
 Efficient 
 (“Only if I discover that what I want to do is..taking too long”)",Invoke (Inline),1,1,1,0,1,"<1,1,1,0,1>",1,224-224,0,0,0,0,1,1,1,1,0,0,Inline
I: What is your cutoff for too long? [1:51:01],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know. For this kind of thing? 15 minutes. Maybe 10. For a few minutes I would just do by hand. For this one I would need to verify it too. You could argue it is an investment into learning the tool but in this case I would first want to see that the cost times frequency - if I do it over and over then I would look into it but if I then don't need it for 6 months I will forget it by the next time anyway.[1:51:58],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
fin,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
