Familiarising with IDE,,,Predictable (3),Effective (4),Satisfaction (3),Trust (1),Efficient (1),Vector: ,Invoke (5),Row Range, Predictable (1), Effective (0), Satisfaction (0), Trust (1), Efficient (0),Not Predictable (2),Not Effective (4),Not Satisfaction (3),Not Trust (0),Not Efficient (1),Refactorings
This is kind of making it obvious to me how much of my expertise comes from repetition. [1:12:22],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"When I am working in eclipse I am very comfortable, but here I am not comfortable and I'm going slowly, but now that I'm doing something I have done a few times I am getting comfortable and moving faster. [1:12:42]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It seems like you refined your strategy and now you are just applying it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: At what point did you become comfortable with it? [1:12:59],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I guess I really became comfortable after deleting one of these methods and then running the tests and they passed, and I didn't have to change anything else. But I think the number of repetitions were also a factor. Like the first time I was really unsure what I was doing, the second time I felt more sure, and the third time I felt like I got it. [1:13:28]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I notice that you have intermitted errors or warnings that you are not checking. [1:13:47],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's telling me that there is another method with the same signature and I'm getting the same error every time I do this and I know I am going to delete the other method.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And it's partially because, I guess, this type of task is something I’ve done a million times before so I'm very used to getting that error and ignoring it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So now let's see what happens. [1:14:33] Error. cannot find symbol.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, this is what happens when you go through blindly without looking at what you're doing. You get too comfortable. [1:14:58]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So this is gone and the question is what do we do in this case. I guess this case wouldn't exist any more so we can just delete this. [1:15:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"and here we get the same thing, set accessible workaround. Wonder what that is. [1:15:24]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
IllegalAccessException. So we're getting a field S from parentClass - what is parentClass. Superclass of public child. Which parent. it has defined s as public. So why are we getting an error. Why does it say it is protected. [1:16:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is a public field on parent ... are we trying to set it to the value True? [1:17:42],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I see that it is a string. Which is not something I knew you could do with reflection. But apparently if you forceaccess you can? so apparently we should remove these two lines of the test, because it is no longer supported.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And it fails. Now it tries to set it to an integer. Same thing. No, it's a different field. i. It's package visible and we're in a different package. Where is this used. [1:20:02]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I was wondering if I could change the visibility of this to public since we no longer support it. But there are probably other tests that use it. It probably make more sense to look at the test. Oh, again it's just testing forceaccess so I can remove it. I thought I deleted all of them but I guess I missed that. [1:20:43]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So I think that should do it then. Did I run the whole class? Yes. I believe I'm done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task. [1:21:25],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think I started out by trying to understand how these methods are used in the class that are used them. Each of them has another method that delegates to them and set the flag to false. The plan was to use the change signature refactoring to remove the parameter and then delete all the duplicate methods and repeat that for all the methods with the parameter. I deleted all the tests that were testing forceaccess. There were one or two other cases that failed where I had to add a public field under the test objects in order to make the tests make sense.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: your strategy changed throughout the task. In the beginning you changed the method, went to the test for that particular method, and then back to the next method. At some point you shifted to batch-changed the test and then go back to fieldUtils. What impacted that change? [1:22:54]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think I made the observation initially that there was a method getDeclaredField that were used by a bunch of other methods that all defined that flag. The idea was to start with just changing getDeclaredField and then - because that actually contained the functionality for overriding access - and then see which tests pass and fix the tests. And then change the method signatures of the other methods. That didn't fully work out, because there was at least one other method that was also overriding forceaccess but was not delegating to getdecleared field. [1:23:34]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The reason I chose that strategy was - I guess I like to minimize the number of changes I make before I get feedback from the tests on what goes wrong, so it easier to pinpoint what the problem was. Another thing I consider was after changing the method signatures, it's harder to see what the tests were doing because you can't see what the value they were setting for that parameter. I kind of wanted to look at the tests and figure that out first. [1:24:18]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: At what point did you realise that it would become hard to see what the tests were doing after changing the method signatures? Or did you know it from before?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think I knew that from the start. [1:24:29],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: do you know of any tools that could have automated any of the changes you made aside from the change signature one you used?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know what else I could have done to automate it. I was basically making the same change to a bunch of methods.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Right, and you did try to use inline and it didn't work.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That's right.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You did not try it again.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That's right.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know why it didn't work. [1:25:17],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It couldn't figure out the control flow of inline method.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you consider trying to work around that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't think so.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you were to redo this task, how would you go about it?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would do pretty much the same thing, except take advantage of the things I learned. [1:26:12]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would start out by removing all the tests of forceaccess and, I guess add that public field on the test class. and there was also the fact that there were two different methods that were overriding access, so I would start by changing both of those, and then change the rest of them.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you mean two methods that actually implemented the functionality?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What determined the order in which you did the code changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I started with the method that was sort of at the root, that implements the functionality.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: At the root of what?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The call hierarchy I guess. The one that is called by the others. And the others I just changed in lexical order I guess. I just went through the outline view and looked for methods with a boolean argument and then changed them.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you used changed signature. [1:27:29] That left you with parameter references in the body. Then you went back and fixed them.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That was a mistake. The first time I did that I removed the parameter reference first, but then I forgot it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you wanted to complete one methods before movin onto the next?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If there had been other callers in the project outside of this class, where would you have fit those into your workflow? [1:28:02]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's harder, because you can't necessarily just delete them. I'd have to look at each one, figure out what it's doing and decide - I guess, in some cases it may be fine to just not override acces, but in other you may want to throw an exception. I guess probably - because .. *details and options*",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any other changes you made that you are unsure if you got righ? [1:29:18],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'd say that I'm never completely sure that anything is right. I didn't read things in detail so it's certainly possible that I got something wrong. Normally I would rely on tests to catch that. But I think that if I were to committ this code I would go through and look at everything I did.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You mentioned that you have done this type of task in your usual workflow. Is there anything you would have done different if you encountered this during your usual work?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would do it pretty much the same.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there anything you would do to support the changes you do yourself?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I guess in my normal work the methods would be used outside of the tests. I guess I would start out by understanding how they are used and whether this change is even feasible. [1:30:47] if we need to keep the functionality or if we can remove it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you have any final questions or comments?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This was a lot more difficult than I expected. The tasks are straightforward, but actually doing them in this environment and on this machine was difficult. I made a lot of mistakes.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you think made it difficult?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"a lot of this kind of stuff is muscle memory. Even just using an unfamiliar keyboard throws you off a little. The fact that I usually use windows and this is mac, I can never remember which modifier to use, that introduces a lot of friction. There are differences in the way eclipse and intellij present things. IN eclipse I notice right away when there are compilation errors but here I miss it a lot of the time.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Had you used intellij before?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I use webstorm all the time. It's basically the same thing but for javascript.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How have you learned about the refactoring tools that you do use?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Some of it is just by looking through the IDE and seeing what's there, trying it out. Some is from people telling me about them, some I've read about in release notes or blog posts. Sometimes it's by observing someone else doing someting and asking how they did it. I've used Eclipse for 15 years or so, and have gotten a lot more proficient over that time, and able to take advantage of the refactoring tools that are there. [1:33:45]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Which refactorings do you usually use?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Rename, inline, extract method a lot. Occasionally push up or push down. There's also - like not really refactoring - but code generation, getters and setters, I use those a lot. Also eclipse has templates that you can use to quick insert code. I use them a lot.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: For the refactoring tools, do you find that they are overall correct?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Not always. The biggest limitation are cases that don't work that ought to work. Like, it doesn't let you do that.","Reflection
Not Effective(“The biggest limitation are cases that don't work that ought to work”)
",,0,1,0,0,0,"<0,1,0,0,0>",0,263-263,0,0,0,0,0,0,1,0,0,0,
I: What are examples of that? [1:34:48],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Inline is probably the biggest one, saying that it can't do it when it should be able to. But sometimes there are mistakes too, like you do a refactoring and suddenly there are compilation errors. Occasionally you get just totally garbled code?","Reflection
Not Satisfaction (“Occasionally you get just totally garbled code“)
",,0,0,1,0,0,"<0,0,1,0,0>",0,265-265,0,0,0,0,0,0,0,1,0,0,
I: Do the tool usually warn you in those cases?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, it just do it and then suddenly everything is messed up.","Reflection
Not Predictable (""it just do it and then suddenly everything is messed up.“)
",,1,0,0,0,0,"<1,0,0,0,0>",0,267-267,0,0,0,0,0,1,0,0,0,0,
I: What do you do in those cases?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Hit undo. [1:35:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: In Eclipse there are different undo buffers across files right? Can you undo all the changes from the refactoring?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Usually. OCcasionally it gets confused and it doesn't work but mostly it's fine [1:35:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Have you used Move method?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, but I don't find it so useful? I don't think it updates the callers. I think it's basically just a cut and paste. Maybe I'm just using it wrong but I find it doesn't really work for me. [1:36:28]","Reflection
Not Satisfaction (“I don't find it so useful”)
 Not Effective(“I don't think it updates the callers”)",,0,1,1,0,0,"<0,1,1,0,0>",0,273-273,0,0,0,0,0,0,1,1,0,0,
I: How about extract class?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. Actually I'm not sure. There's a refactoring for moving an inner class to it's own file.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Extract class is similar to the first task: you select a class and choose the members you want to extract into it's own class.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think I have done that. I have done extract superclass as well.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you consider using any of these during the tasks?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How come?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It didn't occurr to me. I think at some point for T1 it did occurr to me at the end, but it was too late at that point. But in that case you would instantiate an object to access them from, but you don't want that here. I guess I could have used it and deleted the delegate methods. [1:38:19]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"One thing I've learned to benefit from in eclipse, is to apply refactoring tools even when there are compilation errors. for example when there are duplicate local variables, you can rename one of them and it works as you would expect.","Reflection
Predictable (“even when there are compilation errors. for example when there are duplicate local variables, you can rename one of them and it works as you would expect. “)",,1,0,0,0,0,"<1,0,0,0,0>",0,282-282,1,0,0,0,0,0,0,0,0,0,
"For example, you declare a local variable and use it a few times. then you declare a second one with the same name, and use it some more. And if you rename the second one if will rename the usages of the second one, but not the first one, and vice versa. I expect a lot of people don't do that because it doesn't occurr to them that it will work. [1:39:08]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you trust the tool when you do those?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, because I have done it a few times so that it seems reliable.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you say they rename only ones that bind to the second one. Could it be ambiguous?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"How is it ambiguous? I am using it only in cases where I know that every one from the second one out binds to that declaration. I think a common case where I do that is when I copy code from one method to another. Also when you rename in eclipse, and you type in the editor and it renames everything in the editor, and when you hit enter it will rename everything outside of it. Sometimes I do that and hit escape. So there are cases where I want to rename references within one file, but not outside of it. This is not possible in IntelliJ which I find really annoying and I keep trying to do it out of habit. It is a hack but it works.","Reflection
Not Satisfaction (“I find really annoying “)",,0,0,1,0,0,"<0,0,1,0,0>",0,287-287,0,0,0,0,0,0,0,1,0,0,
"I: Do you use some of these tools when they introduce compilation errors, like in T3. You may get a warning or error and the option to cancel or proceed. Do you use them even so.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
All the time.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you find it useful that you can?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Definitely, yeah.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think people may be scared to proceed, but if you know what you're doing it is ok.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How do you make sure that you know what you're doing?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Practice I guess. You do it a bunch of times and find out.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: When you use such tools, how do you make sure that it doesn't make any changes that you don't want to your code? [1:42:02]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I have had cases where it did really strange things - like I renamed a method called get and it renamed every method called get. And the only way to really be sure is to check over your code line by line before you commit. But it's pretty rare and proably those are going to be caught by your tests, so I don't worry about it too much.","Reflection
Trust(""I don't worry about it too much."")",,0,0,0,1,0,"<0,0,0,1,0>",0,296-296,0,0,0,1,0,0,0,0,0,0,
"I: In T2 you did a negation. If the tool did that, would you have trusted it?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Since I had never used it before I would proably check it over to make sure it was correct. But basically I would trust it. [1:43:07],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
fin,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
