This is just kind of like a datastructures library. Utils.. oh that's long.,,,Predictable (3),Effective (2),Satisfaction (2),Trust (2),Efficient (2),Vector: ,Invoke (3),Row Range, Predictable (2), Effective (1), Satisfaction (0), Trust (1), Efficient (0),Not Predictable (1),Not Effective (1),Not Satisfaction (2),Not Trust (1),Not Efficient (2),Refactorings
"Hold up. I might have gone off the rails here, this is horrible. [1:00:29]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I think what I've done is - I've been defeated by overloading. That is so annoying. [1:00:45],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on what you are discovering now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think what I've done is I've deleted methods that - this entire WriteField is overloaded. And I think I've deleted the one that this is telling me to call, but now I am confused as to which overloaded one I should be calling. [1:01:10] What I am going to do is trying to be systematic about this and go to all the writeFields, and see what exactly is going on. [1:01:25]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Same description for everything, that is awesome. That looks promising, because it is kind of passing everything.. it is kind of like a wrapper. Do we need this? What does this one do? [1:01:54]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So what if we just .. remove this [1:02:01],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then what happens here? Then this entire thing has multiple implementations still. [1:02:09],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Each of which takes four paramteres, and this is only taking three. So this is probably testing the method that I just deleted, because this takes three... [1:02:26] no it still takes four parameters.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, writeField... what exactly did I change? I am going to have to go out here. [1:02:41]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on the decision to move over to git diff,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, I want to see what I deleted. [1:02:49]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why did you chose to go there just now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It is usually part of my workflow - like I know there is an IDE version, but I am a little more familiar with the command line - but I guess I will switch back to the IDE if this is confusing. [1:03:12]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think the file we are working on is FieldUtils.java,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So let's take a look. [1:03:22],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I deleted getDeclaredField, that was fine.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And then I want to look at .. readField, that is fine. WriteField, that is .. writeField is what we want to look at. So that I did not change. This I changed, I deleted it completely. Yeah, I remember that. [1:03:49]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So that wasn't very helpful, beccause I want kind of looking for what version of writeField.. hold up, where did the failing test go? [1:04:20]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Here we go. What I am trying to look at is which version of writeField actually takes three methods.. 'cause that takes one two never mind I found it, it's right here. [1:04:39]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So I have deleted the method here that takes three fields, because it is just a wrapper function. That means I need to directly call writeField here. So is it possible for me to go and just try something.. [1:05:02]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That makes things pass, but what version am I using. [1:05:16]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'll just delete this one, that is always going to be false, so it is the same thing I'm doing here. And now I don't need to make all these changes hopefully. Oh, looks like things are going a bit better than before. This .. is the same four parameter version. I don't know why that is complaining.. oh..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So I am using ctrl + shift + p to get the type of the parameter, which - according to writeField it should be a field, but it looks like it's not . Oh, never mind, this is good, because again, it is going to perform as if the field is false, so I am just going to delete these. [1:06:49]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"TestWriteNameFieldForcAcc.. yeah, we're not going to foceAccess any more. No more red, and I hope these test still pass. [1:07:07]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It's good, but I'm still slightly concerned about all the tests I am deleting without making absolutely sure that we don't need them. [1:07:26]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's keep going. Now can we delete this? [1:07:36],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
ForceAccess is false - what happens if we delete this now. WriteField is going to complain - right. [1:08:05],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now this means I have to remove that method and then remove this and it will take care of the overloading problem. That will always be false, so I will just make it false for now. Why is this complaining - because down here - now it is going to be false. [1:08:37] that's fine.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Go back to my test, see where it complains.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It's right here, writeField, truetruetrue..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"We still need tests where we test writeField... that's not going to .. I think these tests are going to fail even though they are compiling, because they test when it is true, and it shouldn't.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now I wonder if all these tests are going to fail, and that would be good. We don't want forceaccess, which is in their name, so since we don't want that any more, they should fail.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"One failed, ok. What happens if I just delete. [1:09:59]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think that is one unit. [1:10:10],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"great, ok, so I assume these are all going to fail, and that is hopefully good.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If that fails then we are good. 'cause we should not be able to set this field at all. Hmm, that's not good. If we're running this field, [1:11:14]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Huh, what happened before.. [1:11:28]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm trying to go to where I had my .. that one [1:11:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, let's debug. [1:11:56]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't think that should be happening. We shouldn't be allowed to change..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why did you choose to make this change to the body now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I knew I was going to change it eventually anyway, so I can just eliminate this dead code. [1:13:47]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That kind of concerns me - are we able to write this. THe field is little s. Then we write this field .. let's come back to this. Todo, come back and verify. [1:14:17]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Forceaccess no longer exist. [1:14:31],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why did you decide to move on and work other places?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think that will require more thought than refactoring, so I will come back to it later. [1:14:53]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
forceaccess isn't even being used [1:15:09],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now this will complain.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you expected that error?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, I did. I expected to be used several places, so a better idea would be to go to",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Oh my god, this pattern.. I bet you there is a tool for this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It is exactly the same pattern as before. There are two methods that has the same name, and the one that is called the most with two or three parameters, delegates it, passes that message to the other method that is overloaded with a forceaccess field that is false.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So it is basically a wrapper that makes sure that every message we pass to this is going to be false. [1:16:38],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This is really annoying. It was ok the first time, and now since this is a repeated pattern I'm seeing, it's kind of .. making me wonder, that there probably is a tool for this, or there should be a tool for this, but I'm not going to find it right now. [1:17:11]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So this is the point where you thought of a tool?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, this is where I thought holy crap there needs to be a tool for this. [1:17:21]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Or, for this specific thing.. it's just incredibly frustrating to have to remove the wrapper and remove the parameter.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So that is not being used so I can just delete that [1:17:38],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's fine, because here, we just delete this, and that's ok .",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now this is complaining, that's fine. [1:17:57]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Looks like I got most of it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now I am concerned, did I break everything else. I should have run not just the single fieldUtils test, from the start, that was my mistake. [1:18:24]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"One test failed, that's better than the whole suite.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
What did I have here before?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I am looking for where the exception is being thrown. [1:19:32],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Looks like nowhere any more.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That throws it.. but where is this thrown. So writeDeclaredField should throw an illegalAccessException. Ok this is concerning. WriteField.. goes here. It is thrown here. [1:20:40],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The error is we are expecting an illegalAccessException being thrown here, and it's not being thrown, so I'm wondering what I changed to make it not be thrown. [1:21:34]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I am trying to narrow down where it is being thrown, and figure out why it is not being thrown. I'm trying to look at where i used that forceAccess flag.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
What happens if this is false? [1:23:37],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now three tests fail, it is even worse. Well, these are all fail now. I'm going to delete these, because again, these are testing the case we are never going to run into any more. Rerun. [1:24:28]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, we still have the exception.. so it looks like we're still setting the field, which is concerning because I deleted everything where we used the forceaccess parameter to set the field. I am probably going to be stuck at this bug for the next part of the study. [1:25:35]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I want to see what I changed here. [1:25:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, that can't be it. That fixed the problem where the exception was not being thrown. [1:26:33]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Forceaccess true, these are all invalid tests.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am still going to have to delete a lot more of that [1:27:01],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Something that kind of make me happy, is that the illegalAccessException are still being thrown even after I refactored some things, which means that at least some parts of this behavior is being fullfilled. [1:27:18]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That kind of gives me some feedback on whether what I am doing is correct, which is always good.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now we are pretty close to removing all these forcecaccesses.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Where is writedecalaredfield, great there. [1:27:52]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: now you didn't even look at the error right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, I knew that it was the same error. It's the same three errors.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Any other instances? Yes, there. TODO remove dead code",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
before I do this I want to run all my tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now I am going to eliminate the dead code I had here. I am not going to make the same mistake I did there. That is just going to be continue, and that is removed. And getField.. I bet..yeah, it is just a call to that, so the same error is going to pop up. [1:29:30]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So again, I'm just going to delete this: it is a wrapper, we're always passing in false, and it is false by default now anyway. [1:29:41]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I see red. Right here. No need to specify false now 'case it false by default. Oh and I bet.. mhm, don't need that any more. [1:30:13]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"M, concerning. Ok, so hat happens if.. I",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'll just comment these out. Actually why am I even commenting it out, I probably do not need them any more. [1:31:14]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Nice. That is a new error I haven't seen. [1:31:42],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm probably trying to run a test that has been deleted, so let's go to all and run. [1:32:11]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Hm, now I want to investigate, if we can find any more usages [1:32:35]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think I am done. All the tests pass, I removed anything related to forceaccess, everything acts as if a false forceaccess has been passed in, so I think I am done with this task. [1:32:57]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Go to the file, cmd + f for forceaccess, and there was a lot going on and I didn't want to forget about any of them, so I wrote a todo for each forceacces. [1:33:18]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Then I started trying to remove the one that basically at the bottom of the call hierarchy, because I knew it would just be passed through to everything else. Then I went to where errors were occurring, and I ran my tests continuously. Then I found that stupid error, like, you have a wrapper call, to basically - to call a function with a default of false every time. I think that is a language feature: Java does not have default arguments, that's why that was happening. So I had to go in and fix all of that. [1:34:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The first time I had to think about - I just need to delete that and that is it. The third or fourth time I realised it was a pattern, so I don't even need to read the error, even though I should, so I just went and deleted it. [1:34:21]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you talk about how you organised your changes across different files and across the code? [1:34:31],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I basically went bottom up, as in, I looked for the simplest use of forceaccess where it was just a boolean switch and not being passed through to other methods. [1:34:47]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I fixed that, and I ran the tests, and when I discovered issues I found that these are testing the cases where we want to forceaccess, set to true, and we don't want them any more, so I deleted them. [1:35:09]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: so when you encountered issues, did you prioritise resolving them?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"When I knew that I could fix them quickly. If I had some idea about what was going wrong, but like - I did the first time I got over the bug, I said I'll come back to this because something weird is going on, and that's when I realised that setAccessible were set to true when it shouldn't be. I prioritse bug fixes when I have a direction I want to go, if not I'll probably move on to the other code, because it might help me understand what is going wrong here. [1:35:52]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated any of the things you did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I think there is something called change signature.. yep, I could have used change signature. But honestly I don't know how helpful it would have been, because I did not use it that much - and just me highlighting and deleting it was, I think kind of the same approach. [1:36:27]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you were to do this task over again, how would you go about it?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now that you reminded me that there was a tool I'd probably try the tool first, and if I see that there is an advantage of it I'll keep using it, otherwise I probably would follow the same approach. [1:36:47]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What would you expect the tool to do here?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would expect a tool to refactor - so it takes away or adds a field, and then maybe pop up a field saying you call the method with the original method with an unchanged signature in these places. And then if I click yes, I would imagine that there is a list of usages poping up, that I could step through and delete or remove. [1:37:16]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That is kind of .. I think I've seen that. That is the workflow that intelliJ encourages you to do.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Have you used that refactoring before?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Nope.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Have you used any of the other ones?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I've used rename, extract method and push up members to a superclass, but not too extensively. And I've used - IDK if it is a refactoring tool - but structure view.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How come you have used those?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"They are relatively simple ones. An I know what the code will look like. A really big part of it, is I can pretty much visualize what the code is going to look like after applying those tools. I know the changes are going to be relatively local, whereas for change signature, I have no idea how the code is going to look, and doing this all in an automated way scares me a little. If I do this, am I easily going to go command z if I make a mistake. I guess in these complex cases I put more trust in myself than in the tool. [1:38:38]","Reflection
Predictable(“An I know what the code will look like.”)
Not Predictable (“ for change signature, I have no idea how the code is going to look”)
Not Trust (“in these complex cases I put more trust in myself than in the tool”)",,1,0,0,1,0,"<1,0,0,1,0>",0,277-277,0,0,0,0,0,1,0,0,1,0,
I: Can you summarise what you just said?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
For simple refactorings I know exactly what the changed code is going to look like. For complex refactorings that cut across a lot of files it is difficult to predict what the source code looks like after transformation. And that impacts my trust in the tools. [1:39:02],"Reflection
Predictable 
 Trust",,1,0,0,1,0,"<1,0,0,1,0>",0,279-279,1,0,0,1,0,0,0,0,0,0,
I: What makes you trust the tool more?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
When the steps are simpler and I actually know what the code is going to look like immediately after I apply the transformation. If I don't know what it will look like it is the equivalent of closing my eyes and telling the tool to do it. [1:39:25],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Do you use, for example, preview views?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, but I haven't used them extensively enough to be completely confident with them. [1:39:39]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is the any of the changes you made on the third task you are unsure you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes. Especially deleting the test cases. I am pretty sure we don't need to test for that any more, but it would have been nicer if there was another piece of evidence that pointed me in the direction that deleting the tests is the right thing to do",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What would that be for example?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Perhaps - well I would have to write this test - a test that threw an exception if I tried to pass in true, or tried to emulate passing in true, so it failed before I did the refactoring and passed after.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: I'd like to go back to the second task. Your workflow was finding the code you were going to delete, delete it, remove the call to it, and then work from the tests to reimplement it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any automated tools you could have used there?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes. I think I manually deleted the method, but I'm pretty sure there was an automated delete all usages.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know the inline method refactoring? [1:41:31],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, I do not.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So Inline ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Is it the opposite of extract?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Yes, exactly. Would you have considered using that? [1:41:44]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, that would have been a pretty solid choice. No, that is exactly right. Because I basically copied and pasted the body of a method.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You also reimplemented it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
For my second implementation I would probably inline it and make changes as necessary. [1:42:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Inline the one you wrote?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you consider inlining the bodies of the methods you deleted?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, but I should have. Yes, that is good. [1:42:33]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: In both the second and third task you did not look for tools at all. Why not?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I thought this was a relatively complicated refactoring so I thought that instead of me digging through the menus for refactorings and undo them if they don't work, it would be easier for me to just go and do it myself.","Reflection
Not Efficient",,0,0,0,0,1,"<0,0,0,0,1>",0,305-305,0,0,0,0,0,0,0,0,0,1,
"For me, as manual as the process is, I know that I can just undo it. I don't know if that is going to be easily possible with a refactoring tools, like maybe, but I cannot be 100% sure.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you don't trust that you are easily able to undo a refactoring?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If they are automated, yes. [1:43:35]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: how would you usually have gone about the third task if you encountered it in your regular life?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Pretty much the same way. Run the tests all the time, refactor test, refactor test.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you have organised the order of your code changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Same as here: look for the simplest use, delete that, and go to where it errors up.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Then branch into those errors?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Excatly.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you refactor either manually or using tools, how do you ensure that it is correct?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Tests. I always run tests before, if I can during, and after. [1:44:49]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: What about the errors the tests don't pick up on, like, forgetting to remove commented out code.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I guess, there is no real process I follow to check for those. Generally what I refactor, make sure the tests are green, and then go back and see if I miss anything. Just doing a pass. But it's not really a foolproof way. [1:45:25]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you notice if you miss something like that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Code reviews. Linting tools. If something starts going wrong. [1:45:47],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Just some general questions. What impacts how much you trust the refactoring tool?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"One thing is how much I have used them in the past, another is if I can predict what the code is going to look like, clearly in my head, then I trust it more. If the tool follows what it is in my mind.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you have any examples of when that did happen or did not happen? [1:46:37],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Extract method is a good example, since I an just highlight a block of code, give it a name, and it is just going to pop here. But there are other weird ones, like if it has a loop in its body and I try to use extract method on that, and it kind of - either it does not work, or it gives me something, but the loop is not right.","Reflection
Predictable 

 Not Satisfaction",,1,0,1,0,0,"<1,0,1,0,0>",0,324-324,1,0,0,0,0,0,0,1,0,0,
I: It breaks the test?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. I don't know how but that has happened before.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Has there been any examples where you used a refactoring tool, it resulted in compile errors and you were ok with it?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Generally when i use a refactoring tool it does not result in compile errors. So no. But if it did I'd be like, why did I do that, I could've just done it myself. Here is another example, a case of when I want to do a refactoring manually, is that I can refactor it such that the code is going to compile in every step, so I can comment out code, write a stub, and then refactor the code. Whereas, some refactoring tools just break the code and rip it out. [1:48:11]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Like, refactoring tools may make code unable to compile. Whereas if I do it manually I can write a stub and break it out manually. [1:48:25]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That is another case where I would prefer to do it myself.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that example from Extract Method?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Rarely, but yes, sometimes.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: So you might want to tweak it manually so it runs at every step, and the tool might break it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is it important to you that it compiles and run as often as possible.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I need to run tests and in order for that to happen I need to compile it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
fin,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
