Sounds good.,,,Predictable (6),Effective (10),Satisfaction (4),Trust (2),Efficient (5),Vector: ,Invoke (12),Row Range, Predictable (3), Effective (4), Satisfaction (1), Trust (2), Efficient (2),Not Predictable (3),Not Effective (6),Not Satisfaction (3),Not Trust (0),Not Efficient (3),Refactorings
I: Do you know of any tools that could have automated it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[48:45] I do not. The one tool I thought may be able to automated this refused to, because it can't inline method invocations with multiple return statements or perhaps return statements that are organized in a certain way that interrupts execution flow. I would expect, that to inline something like this, you would probably need to define a variable, and then change all of the return statements to assignments and then return that variable. So an alternative way to accomplish this would have been to change those return statements to the variable that was assigned, and then I could have inlined it. It seemed like more work for no gain. So no, I'm not aware of any tools that could have done what I just did. It seems a fairly easy thing, what I just did, so I would not be surprised if there was a tool, but I'm not aware of one.","Reflection
Not Effective (“one tool I thought may be able to automate this refused to”)
 Not Efficient (“more work for no gain”)",,0,1,0,0,1,"<0,1,0,0,1>",0,114-114,0,0,0,0,0,0,1,0,0,1,
"I: You changed the order in which you planned to do your changes at some point. You said you were first going to do the code changes in StringUtils, then remove the tests, then after you realised the way this was organised you flipped the order, went and deleted the tests first, can you elaborate on that?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think when I knew I was deleting these methods, what I was most concerned about was whether these methods were invoked kind of all throughout the library. And so, once I saw that wasn't the case the order didn't really matter, and I had it open, and the only reference was the test, so I thought, I'll just go and delete the tests. I think when I gave that ordering I weren't too concerned about the relative ordering of those two operations, I was mostly concerned about what other places in the library might be dealing with this, and so once that wanished, I guess I flipped the order, but it didn't really matter.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any other changes you did that you're not sure you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, I'm fairly confident I did this correctly, and one of the reasons I'm confident about that is that the test suite seems pretty ok and I'm kind of trusting the tests. And I do that a lot with refactoring. One of the key points with refactoring is that no functionality should not change -- in this case we deleted methods, so that did change something. But if I Inline something nothing should actually change, just the code that does the action should change, and so if the tests behave the same before and after a refactoring, I'm usually pretty confident. Especially, I feel this refactoring was pretty simple. The only, I guess ""tricky"" part, was negating some return statements. For example, there are just three statements per method in this case, and I'm pretty sure I got it right. But if there were more statements than this, I might want to run the tests with code coverage, to make sure the branches are covered. but because this is simple and I actually understand the implementation here, I'm pretty sure I got it right.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"But if there were more statements than this, I might want to run the tests with code converage, to make sure the branches are covered. but because this is simple and I actually understand the implementation here, I'm pretty sure I got it right.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T3 [52:18],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This task is asking me to remove a parameter from a bunch of different methods and have all the methods behave as if the parameter has been passed in as false. Before I formulate my plan I would like to see how the parameter is used in the different methods. I can see in the first one that it's just used once, so I am pretty confident that I have a couple of different options for how to approach this, but I want to see if it's used in more interesting ways, then I may want to change my plan. It looks like it's largely passed through to the getDeclared fields methods. And it's used in a few other places. So for most of the places where it's used directly, and not just passed through, it's mostly just a case in an if-statement, so since I'll be setting it to false, I'll be essentially deleting half of the if-statement.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I will find the base methods -- the methods that use it directly -- I am going to remove this from the method signature, so remove it from the parameter list, and then I am going to delete half of the if-statements, where I will presumably now have an error, because I deleted the thing it is using. Once all the direct things are done then it's just changing the signature of all the other methods and they won't have any real changes, they'll just pass this in.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Here's one of the direct usages. We'll go to change signature.,,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
"Thinking, that's fine, can I tell it to just do that? Yeah. So now I have compile error, which is fine. This is always false. Since it's always false, this if-statement will never be executed, so it will always just call -- if this was passed in as false -- it would always just call memberutils.setAccessibleworkaround so I'm just going to delete this. Alright, so move on to the next one. Not going to deal one yet, want to do all the direct accesses. Alright so here is one. Do the same thing. Change signature. Continue. So this is false, so it will always just continue once it finds an inaccessible fields. The same deal, ... documentation .. it's always false.. Why is this mad at me. Aah. Ok. I have made an error.","Invocation
Effective (“can I tell it to just do that? Yeah”)
 Satisfaction (“which is just fine”)",Invoke (Change Signature),0,1,1,0,0,"<0,1,1,0,0>",1,124-124,0,1,1,0,0,0,0,0,0,0,Change Signature
I: What did you discover now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I have discovered that by removing this field I now have degenerate signatures. There are multiple methods of the same signature. Now I'm going to undo my refactoring 'cause I have no idea what that was passing in before. It claims to be accessible, so I assume it was passing in false, but I just want to check. Yes, undo that change. So it's passing in false. Ok.",,Undo,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Seeing this, this kind of makes me want to change my approach. Now it kind of seems better to inline this so it goes up here. Because if that's doing exactly what I want, it's making the method be as if false was passed in, but I'm already half way done, so I'm not going to do that. Instead, I'm going to delete the methods that are just calling the method I'm modifying. Redo.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Just delete that, because now this one behave as that one did.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[59:35] This is something where, I was very defensive about this on the previous refactoring where I wanted to see where all these were used, and on this one i didn't do that for some reason. So that kind of bit me in the but. This is the same, it clames to be accessible, I can just look at the diff here, it used to pass in false, so I can just delete that. Because that is what the new one does.",,git,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you didn't go an look at these errors before right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[59:50] No, I didn't notice them until the third one. I was just moving a bit quick I guess. Here is another direct access. This time I have readField and I can see it's up here. So I want to ... I'm going to do it the other way not, because I'm kind of curious if this would work. I'm going to inline this. So by inlining this invocation this readField method will behave the way that I want it to behave and then I don't need the other one. Inline the invocation. Inline all and keep the method. I'm just going to inline this one, and then I'm going to delete this, 'cause I don't know if there are other references, so I don't know if this is a good idea or not. So now I can see that there's this if-false-end, so obviously that is never going to execute, because that is how booleans work. Just delete that. And then this one I'll just delete it. I didn't want to inline it into all invocations, because if something else was calling it, I now want to call this new one. I don't want to inline...if I inlined it into all I'd have it inline into potentially some other class, I didn't want that to happen. I only wanted to inline into that invocation. And now that I know I have some errors I'll see what's going on.",,Invoke (Inline Method),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline Method
I: How would you know if someone else uses it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In the library I'll get compilation errors.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I didn't want to inline all, because it would've changed these invocations, which I did not want to happen. And now these all have these forceaccees, so I'm going to have to remove them.","Invocation
Predictable (“because it would’ve”)",,1,0,0,0,0,"<1,0,0,0,0>",0,134-134,1,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so this invocation was attempting to call the method I deleted that had the forceaccess parameter. I had deleted that method, so it couldn't invoke it. But we want everything to behave as if forceaccess was false, and so this should call the method that didn't have the forceaccess parameter, because that method behaves as if forceaccess is false. This method also takes a forceaccess parameter, but I can just remove that by changing the signature.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So maybe I should have done this the other way around, but whatever.",,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
I: What do you mean by the other way around?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[1:02:50] It might have been better - and I'm not entirely sure actually - if I had modified all the callers before modifying the methods that were being called.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why do you think that could've been betteR?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Because then ... no it's all the same, because they have duplicates as well. it might have resulted in a process that was less driven by compilation errors. Because I just did that I can't actually inline this into the other invocation. So I'm just going to undo that..","Invocation
Not Effective (“I can’t actually inline)",Undo,0,1,0,0,0,"<0,1,0,0,0>",0,141-141,0,0,0,0,0,0,1,0,0,0,
I: So now you're backtracking your change in order to use the tool?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah.,"Invocation
Not Efficient (“backtracking your change in order to use the tool -yeah”)",,0,0,0,0,1,"<0,0,0,0,1>",0,143-143,0,0,0,0,0,0,0,0,0,1,
"Inline all and remove, inline all and keep - I guess it's only one invocation of this so it doesn't give me that option. Wait what did it just modify.. it was this one. Already forced access above don't repeat it here. Oh, because it calles readField and it used to pass forceaccess into get declared field, so this comment is now out of date, because there's no forcing of access. This error..it would never get down here if the field was inaccessible. So this one is the same thing, I can't really backtrack this 'cause I don't know when I made that change, so I'll just pop this up here - no what am I doing. I'm just going to delete this one, 'cause this has no value, it just used to call this method with the parameter, the parameter don't exist any more, so this can just be deleted. Ok, so I'm back to a state where I don't have any compilation errors, which is nice. Ok, so what do I actually have left. I have writeField, writeDeclaredField, ReadField, ok.",,Invoke (Inline Method),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline Method
"Now that I've gone through this and I've kind of shot myself in the foot a few times, I'm actually going to look at where this is used before I go and change things. So readField is used in the tests. I'll deal with that later. Oh, and it's also used in ReadField. I'm going to delete this one, and this already isn't using forcedaccess because it was only passing it through to other methods so I can remove it from the signature. Done.",,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
I already dealt with this one apparent.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Apparently?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[1:06:13] Sorry, I don't have to deal with this because there are no forceAccess, so either it was never there or I've already dealt with it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Ok. So now, are you moving between either, let's say forceaccesses or compiler errors?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I don't have any compiler errors here. I was sloppy to start with.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"WriteField, this uses forceaccess, so I can just. What's better, I don't know. I'm just going to delete this one, because this one... hold on. Oh there's three writeFields. Oh no. Field target value, field fieldname.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: how did you notice that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[1:07:09] I had two writeFields on screen, and I had become accustomed to there being pairs of these methods, one which took forceaccess and one which did not. Suddenly I had two writeFields, and I saw one was calling another writeField, but it was not calling the writeField I had on screen. So I almost wanted to inline these into each other, which would not work because they're totally different. They don't even have the same signature. One takes a field, one takes a fieldname, so they're kind of unrelated it looks like.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm just going to delete the one that calls the other and then kind of change the base method.,,Invoke Change Signature,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,#N/A
"Again, this is not even using forceAccess because it has been removed from all the methods that it is calling. Now we have writeDeclaredField which is the last one that has this. So I'm going to do the same thing, delete this, and change this. Ok. So now. I am noticing that the documentation for these are wrong. It is talking about the fact that an illegalAccessException can be thrown if the field is not made accessible. And that makes sense if you can make the field accessible, but you can't. Also these comments are still. And so seeing this - because I've gone through like three different ways of doing this refactoring - this tells me that documentation from the thing I removed was different. It presumably said that - no its documentation sucks also! So this method always passed in false, it claims that it will throw an illegalAccessException if the field is not made accessible, however, it provide no facilities to do so. So, but new documentation sucks, but it's the same as the old documentation so I'm not going to change it. I mean, it's probably a little worse now, because it's actually no way to make it accessible, whereas before the way to make it accessible was calling another method. But I'm not worrying about that.",,Invoke Change Signature,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,#N/A
"Now that I've done this, and I never looking at the tests, I will look at the tests because they're now presumably totally broken.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you looking for now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"These tests used to invoke the methods that I changed. Because I changed their signatures, and they overlap with other signatures there's no actually breakages, but that probably means I have duplicated tests and broken test cases because there were tests that were passing in true, and now everything behaves as if false were being passed in. So if I just scroll down, I can see that I have a bunch of modifications here. So looking at them..","Invocation
Effective 
 (""I changed their signatures, and they overlap with other signatures there's no actually breakages”)",,0,1,0,0,0,"<0,1,0,0,0>",0,158-158,0,1,0,0,0,0,0,0,0,0,
I: So now you're using the git integration?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. By invoking the refactoring tool it changed code I wan't looking at. So a good way to see those changes is through the git integration. it this wasn't in a git repository. I'd be more screwed than ... I'd be kind of screwed and this saves my bacon.,"Invocation
Not Predictable (“changed code I wasn’t looking at”)",git diff,1,0,0,0,0,"<1,0,0,0,0>",0,160-160,0,0,0,0,0,1,0,0,0,0,
"So I can see that this used to pass in through, and it makes sense; the test says testGetFieldForceAccess so it was forcing access. That's no longer a thing that we support, so I'm just going to delete this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What would you have done if there wasn't git integration here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The test name tells me something about what it does, so I might have been able to extrapolate from that. Also if I'd run the tests then some tests would fail because they were attempting to do things that were no longer possible, so I could just delete them. However, the main problem would be the tests that are now duplicated, because there may have been tests that were calling the method without the forceAccessparameter, and there may have been tests calling it with false. So they may be duplicated, because they should now do effectively the same thing. So running the tests would let me get rid of some of them, but for the duplicated tests, I'd have to read through the code to find them I think. [1:12:23]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I can search for the method names that I changed, which I don't remember because there was a bunch of them, and I wasn't paying that close attention, so that wouldn't really work. So yeah, I'd have to read the whole file and try to identify duplicates I think without the git integration.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"testGetFieldForceAccess-illegalArgumentException. So I'm expecting that this used to pass in false, and now it passes in nothing. Oh no it used to pass in true, so it was attempting to forceaccees in a way that didn't make sense. what is it doing? Oh, it's passing in a null value. It's doing invalid stuff. These are stuff that don't make sense any more because we're not forcing access, so all the ones that says forceaccess can just be deleted.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Down here again, this one is talking about forcing access and it's passing in true, so it can just go away. Again talking about forcing access, true, true, yeah these are all similar. This test is strange. It's a bunch of try-cases but it's passing in true, true, true...all trues. So this can be deleted. *reading names*",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"There are some more down here, thank you git integration, so yeah, forceaccess.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Forceaccess.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So I'm not even checking any more, I can see that they have consistent naming conventions for these, so I'm just going to trust that. Are those modifications? Not sure, ok.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now i've deleted all the invalid test cases I believe, so now I'm going to run this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so the tests pass, but I'm expecting that I still have a bunch of duplicated test cases here, so I'm just going to scan through.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
getField.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: So now you're scanning through the actual code, not going through the git diffs?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"There are no git diffs any more, the only diffs left in the file are my deletions. But you're right if there had been any changes to remove that parameter there would have been a diff, so that tells me that these tests were not passing in false anywhere. They were always just using the no-arg-method to check those cases, because they were confident that the no-arg-method called it with false I presume. That kind of makes sense. They have kind of overloaded these testcases, which is convenient for me but a bad pattern, so I can see that they're calling getField on publicChild with these fieldNames and also on this privately shadowed child, they have a couple different inputs, but I don't see any duplicated invocations of getField. Or even if I didn't have git, I could look at this and say there's no duplication in here and it doesn't look like there's anything else that is actually testing getField. Other than these ones that are failurecases, where they are just testing their edgecases, these are invalid fieldnames, things like that. Similarly, getDelcaredField, then there are edgecases. So at this point, I think I'm done, but because that went so sloppily I'm not super sure. If there was anything using fieldUtils outside of FieldUtils and its test, it might be broken now, because it might have been using fieldAccess true. I'm going to see where FieldUtils is used. FieldUtilsTest, that's fine. That's the tests. So it's not being used anywhere else. At this point I'm confident that I didn't break anything else, because nothing else is using it, the testsuite passes, I believe I deleted all the invalid tests, and it appears that I haven't left a bunch of duplicated test cases. So I'm done. [1:17:54]",,"run tests
 git diff",0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Initially believing that the methods were not overloaded, I went to inline or remove the forceaccess parameter. Then finding that that caused there to be conflicting methods with the same signature, I had to go and delete those methods. Then I went to the tests and identify the tests that were now invalid, as they used to pass in true, and none of the methods behave as if true were passed in and I deleted them. I then searched for usages of this class to see if there may have been anything else that was using it that may need an update, and there were none. And so I did it totally backwards.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"What I should have done - and I think the reason i didn't do this was because I kind of had a peek and there looked like there was a bunch of methods, and I don't know, maybe I didn't want to check all of the methods - but what I should have done was looked where the methods were used. Even if I just picked one, getDeclaredFields, if I just found usages of that and found that it was actually referenced in this class, then I would have found it. Whereas I didn't do that, and I didn't have a hint that it would happen",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think the reason why I did that for the stringUtils one and not this one, is because the stringUtils one tells me to do that basically, by saying, these two methods are related. And it literally didn't even occur to me to look for related methods without that hint, which is pretty funny.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"But what I should have done is looked for where these things are referenced, so I know what the impact of my refactoring is going to be. Instead I just went and started doing things and it cause a bunch of errors, that I had to figure out the best way to recover from. And none of them were that problematic really, it was just duplicated methods, and they were not duplicated in a dangerous way, because they both did the same thing, so I had a couple different ways to remedy that, so I could delete one, or I could inline one into the other. It didn't really matter, they were all doing the same thing, it was just invalid definition of the class.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: To clarify, you said that you inlined parameter. You did these code changes where you also changed the body of the method. What did you consider that part of? Was that part of your inline or part of your remove parameter.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The way I decided to do this was that, I decided to remove parameter, and in my brain I knew that remove parameter, was basically saying anywhere this parameter was it would basically be false, and I had inspected the code and determined that the way this code was used, it was just used as an input to a few if-statements. So knowing that I knew that half of the if-statements would just be deleted in every case. So I just decided to delete the parameter, and then the IDE would, you know, tell me in bright red, here is where it is used, and then I could just delete it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Alternatively, had I seen that it was beeing invoked in those kind of paired methods, I would have seen that the two cases are, you give me the parameter, or it gets passed in as false. In such a case, if I were to inline it to the places it was called with the false input, presumably, it would inline that false into where it was being referenced, and then I would just be able to delete that. I think the refactoring probably would have gone smoother if I had been inlining the 'real' implementation into the methods that were just calling it with the false input. But I formulated my plan without knowing or noticing that there were these other methods that were calling with these false inputs. And part of the reason why that happened I think is because I was very honed in on this parameter named forcedaccess. So when I was actually looking at the code, I didn't pull up an outline view or anything, I just searched for forceAccess. So all my brain was thinking about was the methods that use this parameter, and there was no other thought in the world.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: so you didn't think about inlining because you were focused on the parameter.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Exactly. Had I noticed - scrolling through here, had I noticed the duplicated methods there is a good chance I would have gone with the inlining approach.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would that have impacted your work with the tests later.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If I did it in the same order, I think the work with the tests would have been the same. Oh - yeah because it would want to inline into the tests.. So what I would have done - and I did it for one of the method pairs - is when I did the inlining, I only inlined that one invokation. I didn't inline all invokations. and that would leave the tests with invocation errors. I would inline one and delete the other. Deleting the method would cause the compilation error in the test, and then I would go and delete the test basically. So it would have changed my interaction with the tests a little bit. But it would have meant that I would probably have used the compilation errors to identify the test to alter instead of the git diff - which was the only thing that saved me.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you talk a little more about the way you seemed to cluster your manual code changes during this task.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
What do you mean by cluster?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: it seemed that you first did the skimming we talked about, then you changed the signatures, and so you actually did a batch change like that - you changed a lot of the signatures.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There was kind of two types of methods. There were the methods that had the forceaccess-parameter and then simply passed it through to another method with the forceaccess-parameter. And there were the methods that took the forceaccess-parameter and used it in an if-statement.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You called these the base methods.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, in that they're the ones that are actually kind of leveraging the forceaccess-parameter. They're kind of at the bottom of the call hierarchy. when you call one of the other methods they'll call.. yeah whatever, they're at one end of the call hierarchy that i'm calling the bottom now. So you call one method that is just passing through this parameter, which calls another one, which, maybe .. to another one which has an if-statement. And the ones with the if-statements weren't calling any other ones. So I wanted to modify this first, because those were the ones where the control-flow would have to change. And all the other ones would just be to delete these parameters. And so if I worked my way from the bottom to top - worked my way from the signature of the base method, changed its body so that I believe that it's implemented correctly. So by removing the parameter, all the of the other ones that call it, their bodies have been changed, so I can just go and remove what is now an unused parameter from their signature. and so that's why I wanted to do it that way, from the more complex case where I'm modifying control flow, to the less complex case where it's just changing the type signature.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I noticed that these methods were calling each other so I was thinking about that kind of more complex implementation changes to less complex implementation changes. And that's probably why I didn't notice or think about the duplicate methods. I was assuming all these chained invocations were doing kind of different things, not doing the same thing. I didn't think about the overloading.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: And then you did the test cases, and then you searched for usages.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes. Searching for usages should have been the base thing that I did, but I didn't, so I ended up having to double check the work at the end. Had I searched for usages I hopefully would have noticed the method overloading which would have changed my plan.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is this usually how you would have approached this kind of task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think the general approach, yes. Hopefully, while I am doing this most of the time I would notice more things. I guess I was kind of hurrying so I didn't notice them. But yes, if I was removing a parameter like this I would like to get a sense of where it is used. And I did get that sense, I just didn't get a complete picture of where it is used. And then I would move from that more complex and outwards. So I think it would have been about the same. In most cases yes.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated the kind of changes you did.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The only change that was not - well there was deleting the test cases - but the other changes of as to modifying the method bodies and those statements - there might have been some dead code detection that could do that.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So if I had done the inlining, the I would have had dead code, 'cause I would have had if-false, or if-false and something else, and it might ahve offered me an option to delete the dead code. but because I didn't think of inlining, I didn't get to leverage anything like that. As far as deleting the tests, I don't actually know of any tools that would do that for me. Unless, like, yeah no. I can imagine a tool, that would - you know, if I inline a method, it would go, do you want to delete the tests associated with this, but I don't know of anything that would do that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you were to use the inline tool, and inlined them everywhere, how would that have impacted the tests?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That would have inlined them into the tests so if I were to do the inlining, I would not have done inline everywhere. I would have just done the invocation in the overloading method, so it would have just done it into the overloading method. And so I would have still kept the original method, which would have invalidated the tests, and then I would have dealt with that after. I would not use inline everywhere for something like that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: And if you had other usages, how would you have gone about those?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would modify those to call the method with fewer paramateres. After inlining. I would inline, delete the method with more parameters, and then I'd have to go and alter the other ones. Because this was kind of a hybrid inline-signaturechange, it feels like, there'd always be something I'd have to do manually.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If I inline and delete, then there may be dangling invocations. If I change signature, then I have to delete the previously overloading one. And then I have, ... if you change the signature and then delete, then everything is calling the right method, and there wouldn't be dangling invocations, so there would be less work to do. But I didn't think about that when I made that choice. I just made that choice because I saw this hierarchy so it made sense to me to change the signature.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you were to do this all over again, which approach would you use?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would probably, if I noticed the overloading, I would probably do the inlining approach.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You just said that could be more work?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I said it could leave dangling invocations if it were used elsewhere, but I feel like dealing with those dangling invocations is very simple. It's just deleting the parameter that gets passed in and so I think I would still prefer that workflow, even though it does leave some fragments of manual works.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: And if you'd used the remove parameter approach?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If I had used the remove parameter approach, which is basically what I did, then I end up with a conflict, and I guess I prefer dealing with the dangling invocations than the overloaded signature.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: When you did the signature change, that also impacted the test code, was that a concern?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I think that is a concern, because that leaves ambiguity in tests code and I had to use git dif. Whereas if I do the inline and delete it makes it very obvious what the tests are doing, because they don't get modified at all, so you can deal with them separately. Of course, a better approach would have been to deal with the tests first, but I think in most cases I don't do that. In most cases when I do a refactoring - when I think about refactoring, I'm usually not modifying tests, because usually ... in a sense this is not a 'true' refactoring, because it changes functionality, changes capability, and so usually when I approach refactoring, I am just touching code, often not touching any tests, and then just run the test suite and it should validate that nothing has changed. So I would probably still have left the tests for last.","Reflection
Not Satisfaction (“leaves ambiguity in the tests code”)",,0,0,1,0,0,"<0,0,1,0,0>",0,213-213,0,0,0,0,0,0,0,1,0,0,
"I: if you were to refactor code that are directly used by tests, that wouldn't be a refactoring?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
