T1 Ready to start. [03:16],,,Predictable (4),Effective (9),Satisfaction (8),Trust (6),Efficient (7),Vector: ,Invoke (9),Row Range, Predictable (4), Effective (6), Satisfaction (6), Trust (5), Efficient (5),Not Predictable (0),Not Effective (3),Not Satisfaction (2),Not Trust (1),Not Efficient (2),Refactorings
.. well this will be like the first time I can get rid of it find out if the methods collide then resolve that conflict.,,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
I: So you expect that conflict?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes because I could see that the method was right here. The two argument version.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So the refactoring did break the code but it was what you expected nonetheless.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes it was more helpful for the refactoring to result in code that did not compile than to say I can not do that.,"Reflection
Predictable
 Satisfaction 
 (“it was more helpful for the refactoring to result in code that did not compile than to say I can not do that. “)",,1,0,1,0,0,"<1,0,1,0,0>",0,175-175,1,0,1,0,0,0,0,0,0,0,
I: how come?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It was more in line with the change I would have done manually. I would make the change, see that there was an in-collision and then resolve the collision. Asking me to modify unrelated code in order to delete the unrelated code feels like an extra step.","Reflection
Efficient (“Asking me to modify unrelated code in order to delete the unrelated code feels like an extra step.”)",,0,0,0,0,1,"<0,0,0,0,1>",0,177-177,0,0,0,0,1,0,0,0,0,0,
I: That isn't relevant to what you really want,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah don't want this name to not collide I want to delete it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Right 'cause you could do that: rename it,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes that would have avoided the collision. [53:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I think the documentation for the two argument version is correct because this one - well it's nice it actually removed the parameter from the comment but the surrounding comment saying it only reads public fields and will throw if it is not public is more correct on the old method than on the new method. [53:45],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That's readfield; writefield should be the same. Both callers are false. Why are there two callers. There's writeField .. It looks like here forceaccess is always false [54:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
so one caller is here in writefield.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What made you go and look at those two callers?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I was just starting from three argument writefield saying before I delete this method who is using it. I was expecting to only see one which is writefield without the boolean. So I'm trying to figure out what the other one is. [54:56],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This is a helper method that uses a different argument for .. it writes object and string instead of a field object. So this is fine. Interesting. So this method reads the field with forceaccess but then writes the field without forceaccess. I guess that's fine because set access is stateful and you don't need to call it on each access. But seems weird. [55:44],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is writeField object string value which I think just replaces this one. [56:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And there is writeField .. here they are right next to each other and it's fast to delete them.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So what to do here. Forceaccess is false so this top branch is always false. Not sure what setAccessibleWorkaround is.. oh default access. I'm going to ignore this assuming this will continue to work. I know that my transformation did not change behavior. That I don't understand what is going on here is not particularly relevant. [56:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So I think there is still a couple of methods that are three argument. I see a forceaccess here.. So there few methods I didn't find in my first pass is not calling getField through it is calling getDeclaredField through. It's more api scope that I hadn't seen in my first iteraton.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If it's compiling I should probably run the tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why did you decide to do that just now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If i was being very careful I would run it after every transformation. I felt like I had done several and not run the tests so maybe it was a good time to validate that I hadn't broken anything.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So get declared field with forceaccess is called with false it's called from readDeclaredField which we don't need to address [58:28] and writeDeclaredField which we don't need to address.It also has the test case with forceaccess true - which can all go away. [58:42],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And this one as well. These are all forceaccess. [58:53],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So readDeclared writeDeclared calls.. So I will just delete the three argument and only support the two argument. Then again on writeField .. wait which one did I .. writeDeclaredField. I don't think it has any usages - only used here - so ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You said you didn't do the inline because they were positioned like that. If they had been the other way around ?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah maybe. It's just like - is there one left. GetDeclaredField.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I want to get rid of getDeclared Field. Yes I can just inline it here. Except I pressed the wrong button. SO I want to inline and remove. But then I have to say like yeah I actually did mean this one I didn't mean that one. It would have been just faster to delete it. And I still need to go through and look at you know get rid of these checks hope that my transformation was good. It was faster to delete it. When I see that I can just do the transformation simply I'll just do that. I'll just delete the code.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's run the tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's interesting that i was not consistent in my approach between the different methods. I think my initial removing of the parameter was definitely too hasty. Undoing it and inspecting the call sites before removing it made it a lot easier to reason about the code I was deleting. [1:01:56],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you describe the final approach you took and the steps you did? [1:02:06],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
For getField first I made all calls explicit in wether or not they wanted to force access. I then inspected every call with forceaccess true in this case they were all tests they all got deleted.. That's not true. It was also called with true from wrapper methods methods with additional functionality that delegated to getField that also exposed a forceaccess flag so then I repeated the process on them. They didn't have nearly as many callers so it was less time spent reviewing callers - for several they had no callers - so it was easy to change the api to longer expose the flag. Then after removing the flag there was a little bit of cleanup. Removing the code in the method that was using the flag.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Which of these changes would you consider essential or insidental? I got a sense in your explanation that you did some things and there was a cleanup or in order to do what you wanted you had to do some other things.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know. The minimal change to do this would have been to not inspect any callers not clean up the method implementation but just force the parameter to be always false. That would accomplish the goal of preventing access to things you do'nt want to see.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
But to actually work in a code base that has crafty little things like flags that don't do anything or methods that show evidence of there used to be different ways of doing things that's not high quality code. That's not helping future me use this code. I guess the essential part really depends on what your goals are. If my goals was.. these tasks are all fairly self-contained. They are not really expressing a business need or consumer request. They're just I want to make this change. So the real goal is outside the real goal is like .. I want to something. I'd say largely all of this work is incidental to the real goal.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Maybe not in task 3 - like changing the API that's real. An API is an artifact of something that will live for a long time. The majority of the work would have been in actually cleaning up client code not cleaning up the API itself.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What code changes if any did you repeat in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
One thing I noticed myself doing repeatedly was find callsites kind of iteratively. Kind of find callsites then find callsites from the thing I just found. Which I think is a defect in intelliJ: that should be an expandable tree. Eclipse has that it's like .. c'mon.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The kind of repeated remove a parameter collapse with the fewer parameter version of the parameter I don't really know what I would call that as a transformation. It does seem like a common one in API evolution that - I think in large because Java doesn't have good support for optional parameters so you end up writing a lot of wrapper methods that introduce default arguments [1:07:38],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So managing those wrappers is an automateable but not automated task.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I thought it was interesting how you used inline in the beginning to make the flag explicit in callers was that a change you thought would take you directly towards your goal or a change you did to learn something.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In calling code I would have inspected that transformation and then undone it before the transformation was complete so yes that was incidental. It was largely to make it clear to me what callers were doing to help me identify callers that were doing the wrong thing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
An alternative approach would have been to find all callers of the three argument method and change them to the two argument method when possible but that is much more manual. That would have involved me going into the calling code and change it to mark that I had identified or thought about it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Whereas inlining makes it very explicit. It also means that I could stop the refactoring there. It is a compiling state it's fine and pick it up again after some intermediate changes or something else going on. [1:09:19],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why is it important that it's a compiling state?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then you can run tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Later you did refactorings that led you to a not compiling state.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
For how long is it not in a compiling state and how many files was not in a compiling state.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are there some limits for that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It depends on what you're doing. For a library method like this you really don't want to leave your callers in a broken state because they may be in thousands of files whereas if the file I'm working in is not compiling I know what I'm doing here I have that context in my head. I can resolve that before moving on. I think that is just a human skill: like how many things can be broken at once while you can still reason about the system. [1:10:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: how did you organise your code changes when you were solving this? I'm thinking about the order in which you did things.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If I was trying to teach this I'd say you should start at the leaf nodes first. I should have looked at all the callers found all the callers until I found the edge of the API boundary.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why is that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Principallay for the same reasons: to maintain a maximal running codebase. If I had eliminated read or Write declared field first they touched very little code. But by the time I got to getField it touched all the code. It's kind of tricky because you need to look at the root change to understand the scope of the impact but when applying the change you may want to work in the reverse direction. [1:11:29],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is kind of a temporal thing: if I am going to effect all the change immediately it doesn't matter. But if the change is going to be incrimental you have to start around the edges. Or have an API adaptor in the middle that lets you maintain the old form.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you normally organise something like this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is important to have the end API in mind and try to use it. Because often what you will find is that your ideal API does not work. For a more complicated example - in this case I think it was fine - but if getField took a bunch of options - maybe you were trying to reduce the number of options or combination of possible options you need to look at the callsites to understand what options are being used whether you can reduce that API surface. So you couldn't just start from a small part and simplify it you need to start from the most complicated part. To understand all the complexity you're trying to manage. Otherwise you'll - like you can start from something really simple and try to roll it out and pick up complexity as you go or you can start from the really complex end say this is all the complexity possible how can I make it more reasonable. [1:13:15],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that to determine the kind of change you want to make in the API or to actually implement the change?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That's a hard question to answer that often you don't know enough until you're kind of implementing it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I see. That kind of happened here to.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. I had an idea of the API I wanted I started implementing it and then I realised there were more callers than I knew about so i needed to rewind a bit what are all the places that use this API can I satisfy them.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you think the first part was useful?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. Automated code transformations can be informative. I could also have done that by looking but I could also do it by doing and seeing what happen as long as I can undo. [1:14:16],"Reflection
Satisfaction (“Automated code transformations can be informative.”)",,0,0,1,0,0,"<0,0,1,0,0>",0,235-235,0,0,1,0,0,0,0,0,0,0,
I: And you actually went to git to undo.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I did. I could have done it in the IDE but especially if it touches many files you have to choose which files to touch.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If you had been working with the API you said you'd work with client usages.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Callers yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you find them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In the case of commons lang you can't. I have never maintained a library that didn't have a consumer next door. For this kind of chagne this is a major version bomb. Do I go and find some consumers and see what they're using? If this was more of a service API rather than a very small helper API you'd say I want to instrument my callers to see how often these options are being used who I am going to impact. You can't really do that for this but it really depends on the scale of the API you're trying to transform.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I want to go back to the organization of the changes. It seemed to me when you moved through the code that you distinquished between changing the signature changing the body - cleaning up the implementation - and changing or in this case of then removing the tests. [1:15:56] is that a correct interpretation?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I think those are separate things. You can just assume that you can implement your API so you can just roll out your API change before you actually implement it and then actually make it work. Those are separate tasks. And cleaning up making it work those are stages of the same thing. [1:16:23],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: That's for example the ethod implementation?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. And tests are just another thing. I was deleting them as I went but equally it could have been rewriting them to test the new behavior or ensure that the old behavior could be delivered through different means.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you normally organise changes in that way?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think in this case both API already existed the desired API and the existing API. If the desired API didn't exist yet maybe the thing to do is - I think the order would be differnt if the desired API didn't exist. Then I would say I'm doing to do TDD today so I'm going to write some tests first or I don't know that this API is actually implementable so I need to prove that it is implementable before I do any more work.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Even in that case you're talking about the order not the manner in which it is organised.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Some general refactoring tool questions. You usually use refactoring tools right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are there some cases you choose to not do that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes definitely when I know the tool is going to pick up unrelated things. It most often come up when I want to rename a variable but I don't want to rename a bunch of strings that happen to be laying around nearby. And that's just the tool being too smart or not smart enough because sometimes that is what I want and sometimes it is not. [1:18:35],"Reflection
Satisfaction
 Effective",,0,1,1,0,0,"<0,1,1,0,0>",0,253-253,0,1,1,0,0,0,0,0,0,0,
I don't know how I would express that intent.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Isn't there some configuration option for it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
But I want both.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can't you just click this..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
But it's the speed of doing it. It's like is it going to be faster for me to use the tool with it's default and fix the things it get wrong or use the tool and it gets everythign right or do it by hand.,"Reflection
Efficient (“the speed of doing it”)",,0,0,0,0,1,"<0,0,0,0,1>",0,258-258,0,0,0,0,1,0,0,0,0,0,
Several layers further down there's use the tool and click checkboxes to make it right. It really depends on the refactoring. I think that particularly is one I encounter a lot. It is more common in less well-scoped or less strongly typed code. Where the thing you want to rename is less clear.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It almost turns into find and replace.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. Which I could do by hand if I wanted. I think another place where manual tools win are if you have - like trying to do transformations on things that are sort of code but not really like typically if you've got a bunch of constants or a static block of repetitive code I could try to use refactoring tools to change the signature or .. but it's faster to just find and replace or multi-cursor the new parameter where I want it because I know that there is some regularity in the structure I'm trying to transform that may not be apparent to an automated refactoring tool. [1:20:58],"Reflection
Not Efficient(“I could try to use refactoring tools to change the signature or .. but it's faster to just find and replace”)",,0,0,0,0,1,"<0,0,0,0,1>",0,261-261,0,0,0,0,0,0,0,0,0,1,
I: So those are all cases where it is faster to do it by hand rather than using the tool?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes faster or possible whereas using the tool - there is no way for me to communicate my intent through a refactoring.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You mentioned trust as an aspect of these tools. What are some example of cases in which you don't trust the tools?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In my work I typically work in typescript and I know that the find references tool does not find all references so I know that any automated refactoring will miss some call sites. Sometimes it's still worth it to use the refactoring tool and find the remaining call sites myself but I know that I need to do my own search after to either verify or complete the remained of the transformation.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is really a tool specific thing that if you know the tool well enough you recognize the bugs and you know you will hit them again. And maybe you stop using the tool. I don't have any big dogmatic that I don't trust the tool to do X it is just that over the years of using refactoring tools I've known there to be buggy tools I've seen them.,"Reflection
Predictable (“if you know the tool well enough you recognize the bugs and you know you will hit them again”)",,1,0,0,0,0,"<1,0,0,0,0>",0,266-266,1,0,0,0,0,0,0,0,0,0,
I: And you kept using them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I kept using them. Because they are much faster than doing it by hand.,"Reflection
Efficient",,0,0,0,0,1,"<0,0,0,0,1>",0,268-268,0,0,0,0,1,0,0,0,0,0,
I: Which refactorings do you usually use them for?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The most common one is adjust method signature. Like reordering method parameters. Like that is trivial. I trust the tool to do it and it is a lot of work to do by hand. Or introduce a new parameter. If I can introduce a default parameter to all callsites. Maybe I have to go through and see what the real value is at each call site but the tool has identified the callsites for me and has injected a marker for you need to do some work here.,"Reflection
Trust 
 Effective 
 Efficient",,0,1,0,1,1,"<0,1,0,1,1>",0,270-270,0,1,0,1,1,0,0,0,0,0,
I: What do you mean by injecting a marker here?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Defaulting it to null or.. in IntelliJ when you introduce a parameter you get the choice to.. like I think it even has the option to pick a local variable that looks plausible - it's like well ok I really need to audit that - but sometimes it's right and that saves a lot of time.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: And in the cases when it is not right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then I have to fix it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: But you need to navigate around?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes but by making the change automatically it has marked all those places for me. I see them as changes in git. It is like having used find all call sites and navigating through them one by one. In a way there is a checklist now: these are all changed files and I need to go and examine every one of them rather than doing a find and getting a list and maybe forgetting to look at some of them.,"Reflection
Satisfaction",,0,0,1,0,0,"<0,0,1,0,0>",0,276-276,0,0,1,0,0,0,0,0,0,0,
I: What is your take on correctness and predictability in refactoring tools; would you mind explaining how you interpret and think about those two concepts. [1:25:22],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Correctness is an ideal but I think my expectations are not always correctness. If i ask the tool to do an impossible refactoring I'd might rather it do part of it than say that's impossible I can't do it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So for example the one in the second,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes the inline. Yes sure it doesn't have sufficient code analysis to do the right thing but it said 'no I can't do that' instead of saying I'll try but I'm wrong.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It could also have done this more complex change,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah I think I'm not worried about lack of correctness as long as that lack of correctness is apparent. If I did a change and it compiled and it was wrong then I'd be worried. But if I do a transformation and there's obvious incomplete stub-bits around then I see that the tool is behaving predictably - I think that is key - and I see where human attention is required. [1:26:53],"Reflection
Predictable",,1,0,0,0,0,"<1,0,0,0,0>",0,282-282,1,0,0,0,0,0,0,0,0,0,
The predictability is far more important. I can reason about tools that do anything as long as I can reason about what they did and fix their mistakes or give them different options or whatever. But if mental model of what the tool is doing is wrong then the tool isn't helpful because it might not be doing what I want it to do.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you have any examples of what is lack of predictability in tools? Imagined or experienced. [1:27:42],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not quite refactoring but automated import management. It should always import the same thing given a term and then I can fix it. If it import random different things with the same name then I always have to double check its work not only when I know it has done the wrong thing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: That's interesting because that may use some contextual information but you're saying you'd prefer the predictable..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That's tricky. If it can use context and be right then I'm happy. But if it uses context and falls below some reliability treshold then I always has to check it and that increases my work.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What is your reliability treshold?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know. I suspect that. I don't know.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is it about the number of times some level of badness ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think it has to do with the amount of work required to clean up the result too. If it is a lot of work and it happens infrequently I'm still going to be afraid of it whereas if it is easy to fix and it happens 50% of the times maybe that is still worth the tradeoff. I think it really is an effort-balance of how much work is it to do by hand and how much work is it to clean up.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Thank you that's all.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
