I: What are you looking for now?,,,Predictable (16),Effective (4),Satisfaction (6),Trust (1),Efficient (2),Vector: ,Invoke (17),Row Range, Predictable (6), Effective (0), Satisfaction (1), Trust (0), Efficient (1),Not Predictable (10),Not Effective (4),Not Satisfaction (5),Not Trust (1),Not Efficient (1),Refactorings
"[58:00] Right, like the refactoring tool can do safe easy stuff where everything is fine, and being like, I'm not necessarily sure, like, at least the logic is the same, or like maybe the logic is the same but there may be some small semantic differences - and like I've seen ruby mind be like, hey this does have semantic differences. So I am particularly surprised that the refactoring tool leaves me in a state where my codebase does not compile.","Invocation
Not Predictable (“ I am particularly surprised that the refactoring tool leaves me in a state where my codebase does not compile”)",,1,0,0,0,0,"<1,0,0,0,0>",0,160-160,0,0,0,0,0,1,0,0,0,0,
I: Without telling you?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah. Like, I find that out by running the tests myself. Which also actually tells me that I didn't run the tests before inverting that, which is like, c'mon. I teach people how to TDD so that's not ok.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, let's undo and start again.",,Undo,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[58:59],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Oof, at this point I don't even know which parts to undo like which files to do the undoing in. So I'm going to fall back to git.",,git revert,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Why do I have staged stuff. There was a problem with the editor. Oh that's sad.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It didn't commit?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so that did successfully commit.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, cool, great.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
awesome.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, let's try this again. [1:00:13]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It's going to be isAnyNotBlank. Let's - yeah, let's capture this. No. That's pretty redundant, but I'm going to keep that just for posterity. Uh. Great. Ok. So let's Inline all and keep the method, preview this, I don't need it in these, thanks, let's double check this, let's do this refactor, inline that method, removing redundant imports, that's great. This compiles successfully. Does this compile successfully? Still going. While that's going let's build the tests. This little macbook air is so sad.",,Invoke (Inline),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline
Oh no two tests fail. Some NullPointerExceptions. [1:02:19],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That makes sense! Of course. The whole point of that like isEmptyCheck is ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Like we're passing in empty array of strings,",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No. That's not even.. Ok, sorry that's just Java. We're casting null as a String and we're casting null as an Array of Strings. So let's make sure we're putting this in first. Uhm. Let me first invert this. Let me make sure I didn't break anything else. Why did the isAnynotBlank fail out of a sudden. Yes, ok that makes sense. I am ok with that. I had already forgotten about that. So let's run this test again.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
To make sure it fails at the same spot still. And then let's put the multiple return back in.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Sorry if this is taking longer than you expected.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Oh no, don't be sorry. I'm not measuring time or anything.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So let's build and run again. Ok, that's exciting, all the tests pass there.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I didn't really need to rerun the tests again there.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Great, so let's",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm going to remove this now. I'm still satisfied with the tests. These are sad, so they are gone. And then let's do the same with it's allEmpty. [1:06:12]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This should be very similar. It is the same structure right.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm going to do the same sequence then. I know that this is completely redundant, but.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, I did it top to bottom. But really when I'm thinking about it I'm moving this statement up to the default, 'cause this is effectively a default value. And then if it is overwritten by either of these then it remains overwritten and it gets returned.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"When I do that, the - testIsAnyNotEmpty is here - let's run that. The null check is going to fail at furst, I'm sure. I removed the null protection. Sure. Let's see what happens with the non-nullchecks though.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Nullchecks aside, I know that, let's keep going. Inline this. Keep the method, do the preview, the test usage, that's what I'd expect to see. Oh, hm, sure, let me uncomment that, just to make sure that, it shouldn't necessarily, I shouldn't need to worry about that, because I'm not going to inline it there anyway, but if it's code let me treat it like it's code and not like it's comments. Do refactor. Pretty sure I chose to keep this time around? I'll go back to isAllE .. there we go. And from here to testIsAllEmpty. These null-tests aren't going to go well. Comment these. And the nullchecks do fail like I expect them to.",,Invoke (Inline),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline
"I: So now you uncommented them and you rerun the tests, why was that?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I want to make sure that they fail.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: So, if they were to pass now.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would be terribly surprised. My understanding is that this early return exist for the NullPointerException.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So this failure is what you wanted?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes. I totally expect this NullPointerException, so I can then know that when I'm putting in the multiple return points it succeeds as expected. So this here, if I say return false, I would expect that to make the test pass. We don't really have checks to declare how many times isAllEmpty was called. Unless we do? What? Oh of course. Oh Of course. Right there. What I had done last time was change the negation before trying to put that back in. So let me cange the negation here. [1:12:47]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Run these test - I've taken out the early return still. Great, that's the NullPointerException I expect. If I change this to return true.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you expect now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I expect the tests to pass.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: What are the value of the tests now as you expect them to pass or fail; somtimes you want them to pass, sometimes you want them to fail, and you keep rerunning them as you make small changes to the code, what is that?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It tests my understanding of the code and the changes I make. I am not changing these tests at all throughout what I am doing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that important?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It is important. They are specifications, and so by not changing the specifications I make sure that the behavior I care about still happens. Like, these are properties provable of the system.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So I'm going to finish this one remaining early return. I am going to inline my - inline the variable there. Run the test one more time.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"During a lot of the, like, make the change, run the test, make the change, run the test, is part of my TDD workflow.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: But it doesn't actually check your code in a sense, it tests what you're..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It depends on the quality of the tests. You'll note that at no point here do I care how many times I am calling isAllEmpty. There is no functional difference - like I don't need the early return according to the property of the system that I care about in the tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: For the sake of time I'll suggest that we move on.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think I'm done with the task.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Ok. Do you want to just wrap this up and make the tests run, because we are going to continue with the codebase.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
yep. sure.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[1:16:04],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Please describe the source code changes you did in order to solve this task.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I failed to inline automatically so I changed behavior by removing some early returns, which resultet in some tests failing temporarily. I inlined the methods into the isAllBlank and isAllEmpty. I didn't actually remove the methods that I was supposed to remove, as I'm verbally describing this now. isAnyNotEmpty. I haven't finished moving this yet. But I can do this right now.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So I removed the early returns, inlined them, and replaced back the early returns, and the tests reminding me for one of the two early returns, not the second.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Again I noticed that you used git actively as part of your workflow. Would you usually have done that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you have gone about this task if you were to do it again.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would do the same thing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T3 [1:18:37],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Cool let's go take a look at that.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"There is overloaded getField and getField with a final boolean forceaccess. Using the setAccessibleMethod, ..will only ..match public fields ..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Some validations, check out the class hierarchy, ... forceaccess. And there it is. If it is - if it's not public. Ok. Remove the option to forceAccess from FieldUtils.java. Great.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Before you get to it, to make sure that we're on the same page, can you explain what this task is asking you to do?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I believe that the task is asking me to - so the option to forceAccess should not be available, and all code should perform as if the flag i false, yeah does that include changing the signature on getField?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so the signature on getField no longer need to be overloaded.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
OK. There are a few other ones. Would you want me to work on all of them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, great. I know there are refactoring tools that can change signatures, and I know that when you are adding a new field into a method signature, you can provide a default value. Uhm..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That can get kind of ugly depending of the language version or language variant of IntelliJ you are working on. Whether it becomes a default value in the method declaration - like in RubyMind - but here it means it would need to change all the callers to pass in the default variable, so if you want to change it later it can be a little sad, but that's not what we're doing here. But worrying about those future changes, and adding a field. When removing a field, I don't actually know what intellij would do in that case for changing the signature.",,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
"I'm curious to see, if I put the cursor outside any method definition, and I search for change method signature here - ...in a method or class to be refactored. I can't change the class signature. [1:24:09]",,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
"sure fine. Let's see what this does. I could remove this right here. Method calls, modify or delegate via overloading method. I already have an overloaded method. I don't even know what that would do. I am curious. Sure, it's used in the method body. So there's two problems. One is that it's already defined in the class. Second that it's used in the method body.",,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
I: So that lead you to cancel your refactoring?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How come?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If I were to - I chose to delegate and I chose to preview here. I could show the conflicts in the view. I know where this is used in the method and I know that is this already defined in the class. If I click continue. What .. I wouldn't have considered clicking continue in that case.,,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
I: Why?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It tells me that there are problems, which leads me to believe it is not able to do it.","Invocation
Not Effective (“leads me to believe it is not able to do it. “)",,0,1,0,0,0,"<0,1,0,0,0>",0,239-239,0,0,0,0,0,0,1,0,0,0,
"So like, here, there is the method, with the signature that needs to be changed. And then there is the, uh, unclassified usage, sure, one usage in one file. But let me try it, let's se what the heck happens. Ok, this is an ambiguous call, of course. Why did it have .. Why does it have a forceAccess.. What.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I want to undo this and see what's going on here. Oh weird what. Why is it even. Ok.,,undo,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So it changed the two methods in a way that I didn't expect, it feels bonkers. Right, cause you have a method that has getField with two parameters and one with three parameters. And when I say, I'm fine with the problems, deal with them for me. I still end up with two methods. But the three version is on top and the two version is on bottom.","Invocation
Not Predictable (“it changed the two methods in a way that I didn't expect”)",,1,0,0,0,0,"<1,0,0,0,0>",0,242-242,0,0,0,0,0,1,0,0,0,0,
"I don't need this at all. This being a getField that takes a forceAccess. I don't need to delegate to getField, that's fine.","Invocation
Not Effective (""I don't need this at all.”)",,0,1,0,0,0,"<0,1,0,0,0>",0,243-243,0,0,0,0,0,0,1,0,0,0,
"So this is a relatively simple manual cleanup that I could do. I just need to continue here. And there is another manual cleanup where this getField was taking. Oh wait, did I have three getFields? I ended up with three getFields. So the changing the signature ended up making a third method instead of changing my two, but the scroll position didn't change or give met any indication. Ok, that's delightfully bonkers. So now I have a getField-method.","Invocation
Not Predictable 
 Not Satisfaction (“bonkers”)",,1,0,1,0,0,"<1,0,1,0,0>",0,244-244,0,0,0,0,0,1,0,1,0,0,
"So let's test a getField without forcing access. Note that I did not run this beforehand. Oh, ok. That's .. I see.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[1:29:45] I: What did you just discover?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I hadn't looked at other usages of getField in the codebase. Which is a rookie move. So, now I don't want to start with GetField. I want to start closer to like, leaf nodes.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Leaf nodes of what?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The calling graph.,,"Restart 
Invoke (Change Signature)",0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
"So let me undo some changes here. So if I find out who is actually calling this with my option F7, I find that it is actually there are two variants on it, versus readField and writeField. So let's take a look at readField. Option F7. So it has it's double version and its test. And writing is going to implicitly need reading. So let's go for the writing version. Ah, so I see the testWriteNameField - so let's go to writeField. How many callers do you have? You're good. Are you? You have a string version? Ok. Fine. In your string version, who is calling the string version? Just the non-forceaccess, and the one test. Great, I'm going to start here. And how many versions of writeFfield do we have? Oh goodie. We have an object string object boolean in the signature here. Yeah, let's go and try to remove - Let me actually think how I would do this. In the end I don't want this method to exist. I want all of it's content, except for - yeah. So rather than breaking all of that necessarily, forceasccess is only used here, inside of this method, so I'll just call this false, at least first. Now it says this is never used, which is fine. That's totally fine. I'm going to move this to the right. Let's go here. All these tests. Sure, some warnings, One test failed - the forceAccess-test failed. I think that's fine, I don't think I need the forceAccesTest. Does the forceAccessTest and the not-forceAccessTest test the same things? Before I remove the forceaccesstest. But like, I'm aware that there's, you know, time. Ok - safe delete forceacess? The following problems were found - it's already defined - delete anyway. Cool. You're going to be sad because you already have another definition of this. That's weird - did that change? Undo safe delete. this version throws illegalAccessException, and this does not","Invocation
Not Predictable (“That's weird - did that change?”)","
 Invoke (Safe Delete)
 Undo",1,0,0,0,0,"<1,0,0,0,0>",1,250-250,0,0,0,0,0,1,0,0,0,0,Safe Delete
"[1:35:00] I: Sorry, it's a line change there",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Oops, sorry, yep, ok great, then let's do this, and the JavaDoc is already changed, so I feel pretty confident just doing this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In the testfile,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you expect to happen here now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm curious if the test disappeared. Like the code was compiling, and I wouldn't have expected it to do so.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you expected it to not compile?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Oh, I don't know. I wouldn't have wanted it to not compile. There was a 'learn more' option that I didn't choose which might have shown me like here are what's calling it with these particular variables. I forget if, in java, if you have a variable that is unused, whether it still actually compiles - I think it does. Compared to other languages.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I have lost the actual thing that I was working on. [1:37:01],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"WriteField. So in this testWRiteField here forceAccess, this is still what did I end up changing then. Right, there were objects, not just - write, there are different variants of writeField, I had forgotten that. This is why, when there are many things, I like to write down each thing so I know what I am doing. So I have forceAccess here. If forceAccess and field is not accessible then set accessible else setAccessibleWorkaround. So I get to decide at this point, do I want to - I'm treating it as if forceAccess is always false, then this is always false. So false and, which simplifies to false, which lets me remove the if-statement. And then I guess I can safely delete this. Here is the already defined in - quick view usages at this time - but that doesn't tell me anything. [1:39:19]","Invocation
Not Predictable (""that doesn't tell me anything.”)",Invoke (Safe Delete),1,0,0,0,0,"<1,0,0,0,0>",1,259-259,0,0,0,0,0,1,0,0,0,0,Safe Delete
"So, delete anyway. Then it will complain, because I have two writeFields, so I'll delete this one. Great. WriteDeclaredField just has the one caller, which is this - that is false so let's do the same thing, how is this used, getDeclared field, mark that as false, this doesn't care [1:40:20]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"keyboard access - delete anyway. Great, that's never used - let's go back to the structure, see what else we have. Reading a declared field, that's before the get, just itself with the false call, perfect, I don't know if in java I can notify my. Yeah, sure. I typed true and I really meant to type false. Sure, rather than needing to visually find it. I already saw that. Delete that anyways. And of course you get weirded out by this. That feels weird, I don't know if I want to do that. I don't think I need to safe delete this, I can just regular delete this.","Invocation
Not Satisfaction (“of course you get weirded out by this. That feels weird, I don't know if I want to do that. “)",,0,0,1,0,0,"<0,0,1,0,0>",0,261-261,0,0,0,0,0,0,0,1,0,0,
I: What would the difference be?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't know. My fear is that safe delete would delete anything that calls it. And the - when it says search in comments and strings - when it says search for usages and delete method readDeclaredField. Like - I think it seems ok. But that one trick whenever I do automated code changes - the option there - like I always like to go to the 'show me what you're going to do before you're going to do it. and the 'ok' - like search for usages and delete method? Is that like - ok, what happens if there are usages, you're going to delete the method, but what's going to happen?","Invocation
Not Trust (“My fear is that safe delete would delete anything that calls it.”)
 Not Predictable (“Is that like - ok, what happens if there are usages, you're going to delete the method, but what's going to happen?”)",,1,0,0,1,0,"<1,0,0,1,0>",0,263-263,0,0,0,0,0,1,0,0,1,0,
I: So why do you prefer your manual delete?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I know exactly what is going to happen. And I have a strong test suite, so if that wasn't a great change then the tests would take it. Like, if the tests were also deleted, then I would see that in my source control tool.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: For the sake of time I am going to stop you now.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[1:43:51],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What kind of repetitive code changes did you end up doing in order to solve this task.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I ended up picking a default value for an argument I was going to remove, either visually confirming - visually replacing the argument of that parameter inside that method, or what I ended up at the end, was like, redefining that arguments value, and then inlining it, which should be the same. And then when I am changing the signature, on an overloaded method, ending up with two copies of that method with the exact same signature. And then needing to choose which one of those two to delete, the one that referred to the previously larger one - like the overloaded method is effectively a default value for the larger method. So I would have like .. yeah. Those are the repetitive code changes I made.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you make any other code changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I didn't change anything in the tests as I was going, because I was aware of our time limit?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would have gone about it if you had more time?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would have been running the test suite more often. I would have made sure that each - like I'm not even sure at this point if the tests compile, because I haven't opened them in a few method changes, so I would want to make sure that they compile, and because there were two different test methods for the base action and with forcing access, I would want to make sure that the forcing access method just cares about forcing access, so I would be able to safely remove that test method. If not I might have to copy some of the test expectations into the base method.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Can you describe how you would have performed those repetitive changes including the tests. Like, if you were to incorporate the tests into your workflow now how would that have fit together? At what point would you go and change the tests?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would change the tests after removing the base method, after choosing a default value, and whenever I was changing that the functionality that relied on the non-default value, I would remove those tests. Or, I would remove the expectations and then remove the test methods that didn't have those expectations.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Did you expect any of the changes you made now, to also change the test?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No. When changing method signatures? No. When you say change the tests, let me just say that I wouldn't expect them to take care of my tests for me. I would expect them to change the callers in the tests.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can we go and check out what changed? If you have any examples of methods that changed.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[1:49:02],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That would be because I have two different readDeclaredFields.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Right. Was this a result of any of your automated changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Because I haven't removed this readDeclaredField yet.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Right. Are there any others.. you changed writeDeclaredField?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah I did. [1:49:29],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"WriteFieldForceAccess, you note that this no longer has..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Right. So if you were to run this now, it would most likely fail.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that what you wanted?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think so? Is that what I wanted? I think so.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This is a JUnit style test instead of a BDD style test, you could more easily show what the variant is. Like, with a boolean forcedaccess equals true and boolean forcedAccess equals false, and then run the same tests, I think. or like .. you could have run the tests here and instead of true, it would have been forcedacces. And I would have been left with this unused local variable, if that was how I organised my tests. And we're getting a more hypothetical than your original question, .. but like, would I have wanted the refactoring tool to also take care of that local variable? Probably not?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why not?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If it's just true, then that's fine. But if it's like, if it's invoking a method you don't know what's going on in that method. So yeah if it's a local variable that is a primitive then yeah, that's probably safe to remove.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So in this case your refactoring did change the behavior of the code?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: But you're ok with that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. That's explicitly what I'm asking for.,"Reflection
Satisfaction",,0,0,1,0,0,"<0,0,1,0,0>",0,296-296,0,0,1,0,0,0,0,0,0,0,
"I: Right, whereas if it had broken the compiling state, like during the previous task, that's not what you'd want? Or expect? How do those different outcomes compare for you?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah. Like I've been in situations where I would have wanted it to break the code, and I would have wanted to be forced to go and manually check.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You would have wanted yourself to be forced?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Like, do I want it to be false here, do I want it to be false here, for all my callers. But if I want that behavior, then I can just change the signature myself, I don't need a tool for that. I could also like, go and find the usages beforehand. And put together that small list, of like, here are the usages of this, and visually confirm, like, yes I want them to be false in all cases, so then I'm safe changing the signature of the method.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So first going manually through the usages so to speak.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Making sure that removing the option is fine for my callers, potentially, before actually making the changes. Whereas if I want the code to leave me in a broken state, then I'm still doing that checking but after the fact.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What impact your decision to want either thing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think more than anything, least surprise. but some of it actually is just telling me what is going to happen.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: what do you mean?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"A lot of the dialogue boxes and the warnings are very terse. If they were to explain that this is going to also, like, change the callers of the method.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[1:54:58],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: During the previous task you temporarily changed the behavior of the code, why was that ok for you?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Because I know how to put it back. I understand like, the execution flow, and when I call the compiler what it's trying to do, like early returns are hard to deal with automatically. They're hard to deal with manually.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: So you did change the behavior temporarily and validate your mental model using the tests in order to use the automated tooling, right?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If the automated tool had done the same as you did, would that have been ok?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't know if I would know any better. You'll note that I tried to use the tool, knowing that it was early returns, but being like, hey maybe you can handle this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: And so the tool could have actually done the same, like, could have extracted this flag, but it would have been a behavior change and would have broken some of your tests.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, and like, I think I would be ok with it, knowing that it was not as sound. Like, there might be some structural or behavioral differences here.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If the tool had allerted you to that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
