"Let me see if I can figure out IntelliJ. First step - that's actually something I haven't played with, since I'm an Eclipse guy from history. I just need to see if a couple of things works like I'm used to.",,,Predictable (11),Effective (5),Satisfaction (6),Trust (7),Efficient (3),Vector: ,Invoke (11),Row Range, Predictable (6), Effective (2), Satisfaction (1), Trust (6), Efficient (3),Not Predictable (5),Not Effective (3),Not Satisfaction (5),Not Trust (1),Not Efficient (0),Refactorings
"Is this the one I just removed? Now I just need to kind of through, basically, this, which of couse has a slightly different UI, but it's kind of nice, because I can go through and see ..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Different from Eclipse?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, different .. something I haven't seen before. I don't know if I've even used remove before, so this is kind of new from my side. Some of these things that actually seem interesting is that there are other methods throughout here that actually takes in that same type of parameter, that will also need to be refactoring because of this. Looks like readfield and writeField also need to have that removed. And then of course tests. There's actually, it looks like, a number of things that needs to be modified. The benefit with something like this is that the forceAccess-tests, we know that we can get rid of those. it would be nice if there was a way you could delete from here, to say, can I just get rid of these as part of the refactoring, when you're making a major change like this. But I'm just going to go ahead with the refactoring and go look at the readfield and writefield [54:48]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What was that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Just trying to see what the UI means here. It says invalid and it's not letting me get anywhere. I think that's actually the way - it's actually been refactored so those positions don't exist anymore. And here you can see there's just getField, but now you don't have the same fields being used, so I can go through the same process for these ones,",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: I'm curious about the errors that showed up over here, did you notice them?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I noticed them, but I was going to come back and look at those after, because I know there is going to be errors in the getFieldMethod, because forceAccess isn't a variable any more and I'm kind of forcefully breaking the code. I'm taking the approach of what happens if I remove everything first, and try and actually break the rest of the classes and understand some of the impact on what it really means, then come back and fix logic. [56:01]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And of course there's already a method again of writeField. So let's go and have a look here again. I have the readField and WriteField. I know I have both. ReadField also default to false. And then I can go back and actually make those changes again. [56:47],,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
Preview that. Trying to see what other things I might be looking at here. Preview that again.,,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
I: What kind of information were you collecting from this view now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm understanding what the changes are, so understanding that I can remove any test that has forceAcccess, because it is testing something we don't need to test any more. So knowing that there is another transitive dependency, and that it is called with the same kind of value we expect. Then I'll do the readField, just the same. [58:00]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I deleted that route already. Or maybe I deleted something else and I've broken it completely.,,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
"For the purpose of this, I'm going to do this and delete it out of the way.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I can come back and fix the errors that are specific, we're not going to forceAccess, so i'll fix that. here, WriteField, so in this case, I only want to update this if the field is accessible, otherwise we will just .. actually.. set accesssible workaround ..",,undo,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"59:56
 I: Why did you undo now?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It's a little more complex logic than just setting the accessability, so I wanted to make sure I understood what changes was going on. Maybe this will do exactly the same as what we are getting rid of, under the scenes. This may not be completely in play .. because no matter what writeField will always set it accessible, because if it is true, it will set it accessible, but it was regardless going through some accessabilitystuff. I think in this case, I can bascially always use this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Because they do the same thing?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, because there are similarities. Here we're setting the accessible workaround, and here it's still setting accessible if it's not accessible. Without knowing the code at all, no matter what the value is, setAccessible is being called again. If I'm looking at it I'm not sure it actually does what we want, because this still does forceAcccess, because it still adjusts modifiers, like visibility modifiers, but based on the task it should keep being functionally equivalent to what it was before.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
What did I break? [1:01:55],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I specifically didn't touch any of this code on purpose, but it really looks like something broke. [1:02:33]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It's of my own doing, doing things too fast. Right now I'm trying to look at where that bracket is supposed to match up to. How do I fix this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Now you're looking at the version control?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am trying to compare it with the previous. What did I accidentally delete? [1:03:39],,git diff,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Oh I see what I did. That makes sense. I just missed a bracket along the way. I got myself into a happier state. Now I must go to the fieldUtilsTest, and over here I want to .. oh no. I want to find anything that has forceAccess on it, and I guess there's technically an error right now. The ones that are in error.. it's still going to be calling the method.. let me find out. Yeah, you can see they're still wanting to call the forceaccess - am I looking in the right place? Yeah. [1:05:11]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Where's all of these forceAccess, I thought I renamed that one. Maybe I didn't do the readfield yet. I'm actually not sure what I broke here, but we'll just do this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm just going to manually update this, because I'm not sure what I did wrong, so I just want to see.. All the test methods have the right parameter, that's why I'll revert it manually, because if I use the refactoring tool it shouldn't do anything because those are already, technically incorrect references. But of course there's a few errors in here, because these didn't get updated in the local one, which means I did something wrong as part of my refactoring. So you're stuck with me doing it manually. Instead of reverting it all the way back, I'll stick with this idea of, I broke something, I'm far enough along, because I didn't do partial commits along the way or anything like that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"1:06:51
 I: Would you usually do that?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Depending, there may be partial commits of saving your state before going to the next one in case you make a big change and something goes really wrong.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"1:07:07
 I: Why did you choose to not do it this time?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No good reason. Even though you showed me the git stuff I didn't think of it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Another great thing with using a refactoring tool is that it updates your documentation. Back to these. [1:07:54],"Reflection
Satisfaction",,0,0,1,0,0,"<0,0,1,0,0>",0,168-168,0,0,1,0,0,0,0,0,0,0,
"Trying to recompile it since we've done some fixes, and then run the tests. Wrong first argument. [1:08:25]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I'll go look at what other changes were made to this to see what I could have broken by doing someting incorrectly along the way. I think I deleted the wrong method when I did some of the refactoring. I need to go have a look here. fieldname ... is gone .. [1:09:16] so readfield..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"here we go. I accidentally deleted this one. Which I should not have. I thought I actually broke something because.. i'm just going to copy this and put it back. I'm sure there's a better way to do this than in this editor. But.. yay. Now I've got it compiling I think. And I'll try to run my tests. I think I got myself into my own trouble because .. Sometimes I like bigger screens and more space, or else you need alot more knowledge, since on a small screen you can't see that much around you.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"These are the ones I was supposed to go back to delete. They are tests that were refactored but they just had the true removed, which means that they are no longer valid. It made compiling code, which is interesting, because you kind of don't want that to compile, you want an easy way to get rid of that instead of needing to run the tests. One thing that is interesting, is that if these passed, that could actually be a bigger problem. But in most cases when you're removing functionality you're also removing the tests related to that functionality. [1:11:29]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Right now I'm doing this based on the failures, and the names because I know these are the ones that pass through true. This is one of the cases where a manual change is nicer than the refactoring tool because you can see the direct impact of what changed, especially within test cases like this, where you have something that is broken and you know that you'll remove the right thing.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: So to clarify, the broken state would be that they still retain the boolean argument.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"They retain the boolean argument, and would therefore be broken from a compilation standpoint. What's interesting is that this one still passes, but it should be removed as well because it has forceaccess, but this is a problem of the actual code itself. The forceAccess for that specific method doesn't necessarily change its behavior. But in this case I could just run it all and see that everything passes, and walk away from it. And in most cases that's what would happened. The path I took made me realize this potential problem that forceaccess didn't do anything, which is interesting. But right now it's probably just a duplicated test that could be removed.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That covers the task.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I removed forceaccess.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I'd like to just go back to the class and check that it's removed.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It's still there. Oh I missed a couple I guess, interesting. Ugh. [1:15:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So I'd have to go back and basically do the exact same thing, so delete that method, refactor, change signature, do this, it's not used anywhere, awesome, refactor, This one.. Let's do the same thing. refactoring. [1:16:24]",,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
"This actually really cleans up this class as an aside. It seems like they could have gotten away with making forceaccess something higher-level, instead of making it static and passed in and it would have been much cleaner. One more.",,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
"Cannot perform the refactoring. Did it run the refactoring already? Looks like it ran the refactoring. Now I'll go ahead and compile this. I can see my actual errors here. So in this case I can just take out the code that was specifically for controlling access, I can break it this time. Maybe I broke it completely again? Did i push the wrong button? I did. [1:18:51]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now I have to go fix the tests again, at least I should have to. But it doesn't actually seem that way from the information here, so I'll go ahead and run them. And now I actually have a problem with a specific test. That is a forceaccess one as well which can go away, because it's something that should fail. There we go. [1:20:46]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'll say at this point, the tests are passing, I removed the field values, I'll call myself done this time.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"But verification of being done is hard, because at least in that class it was all individual methods, and it's not like it was a simple field removal, it's changing method signatures on everything.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What changes did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"In fieldutils I removed all the pass-through methods that were simple without the boolean argument because those ones would collide with the new signature when I had removed forceaccess. I refactored all the method signatures in fieldUitls, so it removed that boolean, I removed the associated tests that were testing from the point of view of the forceAccess and updated the code to remove the forceaccess parameter throughout the code and updated the logic to ensure that it was consistent with the previous version if false was passed in.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why did you chose that approach to remove the pass-through methods?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Because all the logic was included in the ones that had the variables, so that was an approach to clean up the api. It's easier that you only have those methods in there. Another approach I could see is that you gone through and made all the other ones private, so you can't use them but you have an ugly class. It is simpler. And at the time, knowing we wanted to refactor it out, that was the right approach, because it would have been just code cleanup otherwise.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have helped you?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Not outside of the ones I was using for changing the method signature and see what was happening. I think with a different architecture the could be things that would help more. If it was not a static class, but one with it defined as a field, there would be a few more things you could see as a part of it. Especially within the refactoring, it would be simpler, but it has different visbility downstream.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If it wasn't all individual methods, if it was encapsulated in a class, it's much easier to remove it, because you can just delete that one variable and just clean up the appropriate logic. It is a different visibility to knowing that an entire object was doing that forceaccess, so when you're looking at the tests you can look for ones that are instantiating the object with the specific code instead. Maybe it's not anything different int he tooling per se, but it change the way you look at it and understand the impact of your changes.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You used change signature refactoring and the global git view. Why did you choose to use those particular tools?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I chose to use the change signature because it was easier instead of going through everything and change everything. The git diff was because I knew I broke something and I needed to find out what. I broke something not directly related to the refactoring, but as part of the changes I did as part of the change to the logic. Using the git view is hugely beneficial [for that].","Reflection
Efficient (""it was easier instead of going through everything”)
",,0,0,0,0,1,"<0,0,0,0,1>",0,195-195,0,0,0,0,1,0,0,0,0,0,
"I: How did you find the usage of change signature, did it do what you wanted?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Not completely. I think if I'd played a little more I could have excluded part of the refactoring. I'd like to say I want to go ahead with the refactoring in this area and not in this area, because if I could exclude the tests I could better see the impact of what tests are actually broken. But you want to have the proper changes done inside the code.","Reflection
Not Satisfaction (""Not completely.”)",,0,0,1,0,0,"<0,0,1,0,0>",0,197-197,0,0,0,0,0,0,0,1,0,0,
I: Is that a functionality you know from eclipse?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, I never actually used the remove, I've only ever used it from an addition standpoint.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: In this task when you used the change signature tool, it did result in compile errors, how did you feel about that?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm fine with that because the compile errors were specifically around the actual logic that had to be modified. Whenever you're doing something like change signature...if you're adding a field it does nothing because it does nothing until you implement the logic, but when the field is removed, the logic does something, and it's not something that can be magically removed because it may actually have a major change to your entire project or codebase. So I'm fine with the compile errors when it's inside the body, and I actually would have wanted them for the tests so I could go look at what it meant for certain tests.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: That would have helped you navigate and retain the meaning of them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I didn't want to write them down on paper.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any of the changes you made that you're unsure if you got right.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"What tests were removed. None of the tests I removed were kind of necessarily wrong - but whether there should be more tests removed, or .. one of the tests I took out was passing, and shouldn't..might not be right as it should be passing.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on why you choose to use the change signature tool on this task.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Seeing the preview and liking to playing with tools. For this one it made it a little easier, because it was able to update all the tests, because any that passed in false as well was updated. That means that there may be duplicate code, because one may pass with false and one with true, but it was able to kind of update the core of the tests as well as all the internal calls. For all the passthroughs.","Reflection
Efficient (“made it a little easier”)",,0,0,0,0,1,"<0,0,0,0,1>",0,207-207,0,0,0,0,1,0,0,0,0,0,
I: What if there had been other callers of the methods in this codebase. How would that have fit into your workflow.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't think that would have changed it much. As I was doing the refactoring I was looking at the specific call points, and so kind of going through and seeing if there is one calling the passhtorugh by false, but the good thing with a preview like that is that yuo can see the ones that are true as well, and can go inspect them because there's a reason force was being used there.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I'd like to ask a little about alternatives for tooling. Are you aware of the inline method refactoring?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think so. Yeah sounds familiar.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It's about the opposite of the extract functionality: it takes a caller and replaces the call with the body.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I see, it's like the opposite of extract. I've heard of it but i don't think I've ever used it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you know of it from before?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not really.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you consider using it on any of the tasks if you knew about it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I could have used it on this task... becase... no I wouldn't have used it on this one. I would have used it on T2 because it would have been a lot easier.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you had used it on the second task, what would you have expected it to do? It had the negation.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It would need to create basically a temporary variable to hold on to the true false. That adds a whole bunch of complexity, but it would have had to do that and then return the negation. I'd expect that. It would be cleaner if it does a perfect reversal, but it is very specific to the boolean case.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If it had done the reversal, would you have trusted it?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why not?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Code can become very complex. So if it did a perfect reversal, you might be doing something like returning early, you may be returning early at some point. In some cases, like if you have a loop with continue or break and you negate it, the meaning change.","Reflection
Not Trust(""No"")",,0,0,0,1,0,"<0,0,0,1,0>",0,223-223,0,0,0,0,0,0,0,0,1,0,
I: So would the method body in the second task be an example of what you're talking about?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Maybe. I need to see it again. [1:32:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, a little, because there's logic, but because of the logic it's ok because they could just be swapped, but it's is not always the case. There is a lot of complexity taht could be added that change how this behave. You may need to look at it before doing the swap.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: For these kind of tasks that you did now, how would you usually make ure that your changes is correct?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Automated or manual testing and checking use cases. Code inspection, if it's not a too big change, you can read the code and check the logic.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You also mentioned architecture and design.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes but also this, understanding that this got reversed properly is also just part of the inspection. This happens during code reviews, like, yes the tests pass, but looking at it and checking if there's something we got backwards. You need the multiple steps of understanding whether something is good or bad.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: do you have any concrete examples of what could be bad even though the tests are passing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It could be that you just don't have a test for it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: In general what impacts whether you trust these tools.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Having used it, seeing what happens. The more you use it and seeing success from it, the more you expect that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: what is success in this case.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"When you don't have to go back and doing a whole bunch of fixes on what it did - like removing static in the first case. Those kinds of things are like, if it starts working and your verification steps are all successful for a while, you just start accepting. I'll never really distrust a rename, I just expect it to work and I've used it so many times. When you get into the different refactorings you may learn that there are certain cases it is good for and certain cases it is not, so you learn what your level of trust is based on experience.","Reflection
Trust",,0,0,0,1,0,"<0,0,0,1,0>",0,236-236,0,0,0,1,0,0,0,0,0,0,
I: Do you have any examples to make that statement more concrete.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Maybe not for refactoring tools, but, I work with customers all day, and there's the saying you trust it as far as you can throw it. In the start you don't know how much you can trust it. The more you can use something and understand what it's doing, the more you gain trust it. You start small, and as you start to trust it you grow it bigger, and I think that's a common pattern with software. It takes time until you know whether something will work better.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So for refactoring tools you'd trust the 'smaller' one more?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"right of the bat I'd trust the simpler one, like rename - because it is like a find and replace in a way right, just a bit smarter - it's easier to trust those ones, but it's not to say I wouldn't try the other ones and figure out my trust based on their utility. It also depends on how often you do it. If you use something only once or twice it is hard to build an understanding or trust for it, but if it is something you use daily or weekly it's something you can start to get a feeling for and understand your trust level for.","Reflection
Trust 
 Predictable (“ it is like a find and replace in a way right”)",,1,0,0,1,0,"<1,0,0,1,0>",0,240-240,1,0,0,1,0,0,0,0,0,0,
"I: and your point about different cases, something you will have some special cases of where it is good or bad to apply it, do you have any examples of that?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Even the change method signature I did, it is questionable whether it was a good or bad case to use it. You’re trying to remove a parameter, and now you may have had some impact you didn't know about throughout the system. Whereas adding a parameter is an awesome use case because you're adding the parameter, you can default it to something across the calls and there's normally a reason why you add it, is because there are certain call paths you want to change behavior, so it makes it easy to go and find that. There's a difference between adding and removing as well: it changes your belief in the world. When it's removing you had to come back to fix the logic. Adding doesn't break anything until you start using the parameters, or like, using it in your logic. With the removal you have to go do fixes straight away, which is more complex. The trust is impacted by how much work you must invest after the fact. Going back to your question of trusting something that would do the extraction with the negation and it work every time, then that's great, but you need to build up that confidence. If you need to go and change it all the time you would stop using it.","Reflection
Not Predictable (“you may have had some impact you didn't know about throughout the system.”) 
 Trust 
 Effective",,1,1,0,1,0,"<1,1,0,1,0>",0,242-242,0,1,0,1,0,1,0,0,0,0,
"I: I'll ask more about your definition of success here. In the change signature it broke the compiling state of the class, is that an example of not success.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No - and I think that is a hard thing to describe, because that was success for what I was trying to do.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So that did not diminish your trust?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That did not diminish my trust. That actually increases my trust. It didn't try to modify my logic. The body of your method has the logic that matters to the program that is going to run. It didn't try to do something magic that it wouldn't know how to do depending on what that change meant. Removing forceaccess, it could have also gone to the true one. It didn't know what to do, so it could it is better that it didn't do anything. Something that could have been thought about, in terms of diminishing belief in it, is What it did to the rest of the code, because now you don't know which was true or false.","Reflection
Trust 
 Predictable (""It didn't try to do something magic”)
 Not Predictable (“What it did to the rest of the code, because now you don't know which was true or false. “)",,1,0,0,1,0,"<1,0,0,1,0>",0,246-246,0,0,0,1,0,1,0,0,0,0,
"I: But from a language point of view that is correct, because it kept it compiling.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Right. Software is not a simple binary structure. It is a creative piece of work, and creative pieces of work does not have the same definition. So from a language structure, yes, but that doesn't apply a working application.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Do you have any other examples from your previous work of things a refactoring tool did that either diminished your trust, or that were in a sense incorrect, but you were still happy about it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"A lot of times when you're doing things like extracting superclasses, it gets interesting. What's good is that when you extract someting higher level, if it needs a variable you can pull it along very easily. So having that up-front information builds my trust in it. I'm seeing that impacts, and either cancelling going back and changing what I'm trying to do or deciding to move forward and go with the changes it actually puts in place.","Reflection
Trust 
 Predictable (“I'm seeing that impacts,”)",,1,0,0,1,0,"<1,0,0,1,0>",0,250-250,1,0,0,1,0,0,0,0,0,0,
[1:43:31],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Final comments/qs?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think it was fun.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
