Intro chatter [04:17],,,Predictable (1),Effective (0),Satisfaction (1),Trust (1),Efficient (2),Vector: ,Invoke (0),Row Range, Predictable (0), Effective (0), Satisfaction (0), Trust (1), Efficient (2),Not Predictable (1),Not Effective (0),Not Satisfaction (1),Not Trust (0),Not Efficient (0),Refactorings
I: Are you making your strategy different from in the other cases?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am not sure yet. I am trying to figure out what to do. [1:25:25],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Here forceaccess is true,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
testGetFieldForceAccess. [1:25:40],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
One strategy would be to change the internal definition of all these methods first so that it always executes as if it was false. That will reveal the test cases that I need to look at more closely.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you clarify what you mean by the internal definition?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It takes a parameter it can be true or false and then it has logic inside to execute whether it is true or false. I am thinking of updating all the methods so only the false branch executes and just ignore the parameter that is passed in. [1:26:38],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That is just noise right now. I'll probably do that. Then I can see which test cases fail. The test cases probably just need to be deleted then I will remove the parameter and update all the places for that. I am sure there is a way to automate it but I am going to do it manually. In half an hour.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why do you want to do it manually?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know this IDE and it is probably the fastest way to do it in one half hour. *git check*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Everything is clean. Let's do this. [1:27:27],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I need a file to jot stuff in.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I want to go through the methods one by one and keep track of which I am at. I may use evernote on my computer and use two checkboxes because I know I will go through each method two times. [1:28:46],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
But here I'll just put two x-es beside it as i go through stuff.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok first one. This one just passes in X so we don't care about that. Hmh. [1:29:07],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I was expecting it to be a parameter here. I'm trying to understand what I'm looking at that is wrong. [1:29:45],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ah it's been a while since I did Java. We cannot do this in Ruby.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So if forceaccess. We are assuming this is always false.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What does this first x signify? [1:30:35],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That I removed the logic.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Next reduce on logic [1:30:51],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
if forceaccess [1:31:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Forceaccess will never be true,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
One more readField here. [1:31:35],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: To clarify you said used the x to mark that you removed the logic but here is is still present? [1:32:15],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is just passing it along it is not executing anything. GetField will internally assume that it is always false. I am going to leave that. Here t is just passed along.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*marks readDeclaredField*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[1:32:54] writefield.. here. If forceaccess this will never be true.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*reduce on logic*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Nothing to change here just run the tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*run tests*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you expect will happen now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I expect the more interesting test cases will pop out. Before I can looking into them I want to see how many failures there are. [1:34:15],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I expect test cases to fail but this is not the kind of failure I was expecting. I was expecting did not expect true expected false but it seems like it is more interesting than that. [1:34:38],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
First I am just going to check my diff.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'd like to change my strategy a bit. I think with forceaccess true it is not so much the return value that is different but it is a different logic flow. I might be expecting.. maybe they can't set it in this case?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I was expecting this to point out the test cases I need to change. I still believe that but my understanding of the code is not so high right now. It's not pointing out test cases is it.. it is. Let's look at this one here. [1:36:40],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I still believe that these test cases need to go. But whenever you remove a test case you need to take it very seriously. It is not necessarily something we do. [1:36:58],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So in order to not spend too much time on this what I am going to do this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll comment this out. I comment it out instead of removing it because I want to come back and understand it more. [1:37:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm pretty sure that the first one has to go because it is passing in forceaccess true. But I don't understand the code. and this..true true true... pretty sure this has to g doo. [1:37:54],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
These are all true. These are the test cases I expected to delete anyway so I am just doing extra checks to make sure I am not failing something that is supposed to be false. [1:38:22],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Run these tests again.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[1:38:52] Ok it passed. Reasonably happy with this state.,,git diff,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
next step is to actually take away the parameter.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*Self: at this point the functionality has been changed in a cosistent way and the following is a refactoring* [1:40:04],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Interesting. There is a - the other method. Im going to undo this. The overloaded method - there is already a method without that flag. Back to my last state. [1:40:56],,undo,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So getField - let's look at this a little more. Always fun. What I am going to be doing is removing this. I'm trying to think. Fast way or easy way or slow way. [1:41:27],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Usually in my IDE I would just do this and it would tell me if the definition is the same. I am pretty sure it is.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: When you say that it will tell you if it is the same is it just textual?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would select it and it would show the same text in the same file.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So if it was two different classes in the same file?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes it is just text based. Sometimes your eyes can lie to you you see what you want to see.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then we will get rid of this. [1:42:50],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I hate to operate like this. I like to take away all chances of a mistake being made.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you think there is a chance of a mistake being made now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I deleted a method but I didn't 100% verify that the methods had the exact same names.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So I took away this one. Let's see if it exists in here - which I expect it to. And it exists. So now I'm happier.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Same thing here. [1:43:53],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's do it like this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So looks like we do have those two. Let me get rid of this one. [1:44:18],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm just reading the comments to make sure ...,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Really what I should be doing is keeping this docblock if I wanted to be really thorough I would be keeping that and - what I should be doing is this. [1:45:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do just now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I kept the comments from the old method - I think it is more accurate - and the prototype of this without the parameter.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Now they were conveniently located below each other what if they had been the other way around.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then it is a little more involved.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you have done it differently then?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. [1:45:39],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Well I could just continue how I did the first one then look at the comments and ... that's probably what I would do. That is how I will do the other one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: For the sake of time I am going to stop you.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you go about solving this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"First get a good understanding of what I was supposed to do. I discovered the overloaded method names. Not initially, it's not something we come across so it took me longer.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you go about getting an understanding of the code?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I looked at all the methods and took out the true branch and left the false branch then I took out the tests. So I had a plan. The next step is to take out the forceaccess, remove the method names and parameters anywhere it was called. Tests will fail at that point so then it is pretty easy to figure out what has to be updated.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that how you would normally have organised it if you were to do this during your work.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah the basic process is if you change code the tests should fail. [1:48:24],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And you leverage that to guide you back. And if no tests fail then something is wrong. Either tests are missing or.. at that point I would write tests. It would be interesting if this task required that. What if I started making changes and no tests failed. [1:48:51],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: do you know of any tools that could have automated any of the changes you did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Nope,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know any tools that could have automated the information finding - you used grep quite a bit?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
VScode has pretty good search but the end result is the same.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there anything you are certain you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Nope.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: you are certain?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I have to be. I don't want to make mistakes so I work hard to not make mistakes. In this case... for the first two tasks I'd like to know if I did make mistakes but I don't think so. Nor in this one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you define making a mistake here? [1:49:56],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If I introduce bugs. If it was an existing bug it would still remain I wouldn't catch it but I definitely would not want to introduce a new one. [1:50:18],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You emphasised understanding the code in all the tasks why is that important? [1:50:19],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That is pretty key to our job. If you don't understand the code and what it is doing then you're not going to catch problems or you'll miss something. In java it is easier - in ruby ... for example a private method in ruby isn't really private other classes may use it. In java you can safely remove a private method but in ruby you really need to understand where it is used and how it is being used. You have to understand the code make stuff fail, tinker with it. [1:51:23]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You talked a bit about the code review. How would that impact the way you work. If you need to for example make reasonable commits - does that impact the order in which you do things?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. That is why you can just start over. In the end - most of the time you are just playing around trying to figure out how everything works. So in the end when you do the work it is actually very few lines of code modified so you can strategically break it up into two separate chunks of work and get them code reviewed separately or you separate commits and walk people through. If someone see a thousand lines of code they are not going to prioritise this code review. It is just extra baggage. If I had seven pieces of work - or three pieces of work - that each needs code reivew that makes it hard for me to keep working on new stuff. I would have to juggle these other things. When a code review comes up there is usually at least one comment that comes up that you need to address so I would need to switch to that branch and keep working on it. So you don't want to do that switching too much so make it easy to code review. [1:53:08],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: how do you organise what goes together in a commit and what has to go in separate ones?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In the example I used earlier if there are syntax errors or warnings you want to go away you usually put that in a comment and people will ignore it. If you make one line of code that is very important to code review you put it in a different commit it is not so much about getting your code to pass code review but getting people to focus on what is important. Otherwise they are just going to point out that hey you ned to.. you should put this on a new line or just superficial stuff. I don't want that. I want people to look at the stuff that I am unsure about.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that why you were careful with whitespaces as well?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is a sign that you care? you know? Like if you're just moving methods around because you don't like their order or.. that is just noise that doesn't really need to be there. [1:54:36],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You mentioned that you saw the refactoring menu and that there could be some automated tools that could do this. Do you know any of them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Nope.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: There is move method inline method change method signature safe delete. Do you know any of these tools?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Nope.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know the refactorings outside of the tools as manual operations?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Nope. I have never used any tools for automated refactorings?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why do you avoid using them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I have never used them. I am not sure there is any one reason why. I am unsure how much time it would save me. It is something for me to look into I guess. These types of changes are fairy simple and doesn't really come up a lot. Task 3 I can see coming up. Task 2 would never come up. Task 1 this happens a lot moving stuff around.,"Reflection
Efficient
 (“how much time it would save me”)",,0,0,0,0,1,"<0,0,0,0,1>",0,293-293,0,0,0,0,1,0,0,0,0,0,
I: How would you categorise task two such that it never comes up? What is it about it that never comes up?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is a breaking change. You're taking away a method from an API and you have no idea of the consequence of that. The first step we would do is to deprecate it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: but it could be a similar change if it was a helper method right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If it was a private method? Even that is tough. I am so reluctant to do stuff like that. That is usually something that would pop up in tests or it should so it's not that bad but some of our code are shared libraries and those are stuff that would not pop up for a while until an application would start using the latest version of it. So you have to understand how it is used. [1:57:06],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You operated on different levels of the code. For example on task 1 you truncated the code and didn't look at the bodies of the methods until at the end. Can you say something about that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Do you mean when I shifted the method bodies?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes you minimised them.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Task 1 I wanted to understand where all these methods were - they were conveniently laid out right together so that made it easier for me. But that is probably not how it would be. In a real world scenario I would be reading through the whole class looking for them I wouldn't be told which ones they were. I would be reading through and trying to figure it out that way.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Any final questions or comments?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Nope.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
fin,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
