01:00,,,Predictable (9),Effective (4),Satisfaction (7),Trust (6),Efficient (8),Vector: ,Invoke (3),Row Range, Predictable (6), Effective (3), Satisfaction (3), Trust (3), Efficient (3),Not Predictable (3),Not Effective (1),Not Satisfaction (4),Not Trust (3),Not Efficient (5),Refactorings
What I'll do is I'll just remove this instead of running refactor I'll just remove it and just look myself. I guess I just trust what I can see.,"Invocation
Not Trust",,0,0,0,1,0,"<0,0,0,1,0>",0,,0,0,0,0,0,0,0,0,1,0,
I: Right. But you were considering for a moment to remove the overloaded the default method and then using the refactoring tool right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I did consider that but then I thought it might be problematic because sometimes I have had experiences like you do this and then you try to do something else and then it's like you can't do this because it's currently broken. [55:36],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I can just undo that I guess.,,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
parameter forceaccess is used in methodbody. Oh it's saying it's used somewhere - wait - what's that trying to say? Oh it's saying it's used - but that's fine; I'm going to do this and it's going to complain and I'm ok with that. Because I realise that there's no way to do this without something complaining. I feel like it's not going to be able to automatically remove it; besides there are some logic changes too.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Continue.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Alright!,"Invocation
Effective",,0,1,0,0,0,"<0,1,0,0,0>",0,146-152,0,1,0,0,0,0,0,0,0,0,
As I mentioned there's some red stuff here. That's fine. If forceaccess set accessible true else continue. It looks like we don't actually need this which means the else is always going to be true. so the question is what does the continue do? The continue will just go back to the beginning of the forloop. I was just looking to see if I actually needed to even have this if-statement up here but it sounds fine. I think that this should be ok because what's happening is if this boolean is false we want to just continue anyway otherwise we want to just return the field. Sure that should work. Ok so now I'm surprised - I'm kinda shocked that there's not more red in here because did I automatically remove it already?,"Invocation
Not Predictable 
 (“surprised” ..”did I automatically remove it already?”)",,1,0,0,0,0,"<1,0,0,0,0>",0,,0,0,0,0,0,1,0,0,0,0,
I: What do you think the tool did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Oh it probably already renamed everything that was using this. Ugh.,"Invocation
Not Satisfaction",,0,0,1,0,0,"<0,0,1,0,0>",0,,0,0,0,0,0,0,0,1,0,0,
I've just realized that I think one of the reasons I'm hesitant to use tools is because I don't know the full impact. If I were to look at a source control diff right now I would assume that we have some usages. There's going to be some very redundant test cases right now because they've probably been automatically renamed to use the default parameter right now. So if I were to look for getField in here ...,"Invocation
Not Predictable
 (“I don't know the full impact”)",,1,0,0,0,0,"<1,0,0,0,0>",0,,0,0,0,0,0,1,0,0,0,0,
what'll happen is that those test cases are probably going to break.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If I hadn't used a refactoring tool and I would have just seen the red lines and known that this is exactly what I need to remove. What I'll do now is that I guess there's like a git diff thing I can use in here.,"Invocation
Not Efficient
 (“If I hadn't used a refactoring tool and I would have just seen the red lines and known that this is exactly what I need to remove.”)",,0,0,0,0,1,"<0,0,0,0,1>",0,,0,0,0,0,0,0,0,0,0,1,
I: You can go to - are you used to using git in the terminal?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I usually use git in some visualizer.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: There is a view for it here but I'm not sure where. Here?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I want to see git diff effectively.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Compare with same repository version is probably - or show current revision.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So what are you using this to figure out?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I just want to figure out what was changed.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So what the tool actually did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah. Because look at all these things that had true in them which are now removed. I have a strong hunch that this test is now going to fail horribly because it assumed true but it's not going to test for that properly. I'm actually fairly confident that I should be removing this because - oh because literally the name is testgetFieldforceAccess. Everything else in yellow I'm just realising - I just think - why is it yellow?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: it's warnings,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
testgetFieldforceAccess I'll just remove it,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So in this case you used git instead of the compile errors?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah so I guess my previous goto for this kind of thing would be to know that this is what I need to remove because the compiler is complaining but because this kind of tool automatically did a lot more for me it kind of disrupted my flow. This was because it was the first time I was doing this. But this time you know what .. I'm going to be frank and say the next thing I'll do is to go back to my old approach. Because this I guess because of the nature of the task - I guess it's all about control and I feel I am out of control when things happen automagically.,"Invocation
Effective
 (“this kind of tool automatically did a lot more for me”)
 Not Efficient 
 (“disrupted my flow”)
 Not Satisfaction
 (“I feel I am out of control”)",,0,1,1,0,1,"<0,1,1,0,1>",0,165-165,0,1,0,0,0,0,0,1,0,1,
It's like for long time i resisted using ducktype languages because I didn't like that you didn't have to explicitly say what things were.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Was it different for you that it was in tests? 'Cause I don't think you checked this for the main file?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I did not check it in the main file. I should check it in the main file. But I know that in the main file if I removed it it should be ok because when I looked at it earlier for getField - because I pre-looked - I don't think I found anywhere in the code where it was hardcoded. It's always like I'll just take this parameter and pass it on. Because right now the big thing is if you have somewhere that automatically populates it with true instead of passing the parameter that's where it would be less useful. Actually thinking about that now I really think I do want to stick to my old approach. Because now instead I'm just getting this here which just says that this is redundant it's not used. [1:03:33],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok so why is this failing. Probably because we have.. yeah it's because it's overloaded. [1:04:03],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
We now have two methods with the same method signature of course it is going to complain.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Oh it looks like intelliJ shows documentation warnings too. I'm just going to change that as well; I know it says you don't need to but I will.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok let's go back. I changed one of the things already. Final boolean. Now I'm looking for boolean forceaccess. getDeclaredField. One thing I'm going to do - I'm going to change this; by changing this it tells me where the error is in here; I know that this - if forceAccess is true else return null so I know we don't need this any more this is never going to be true so this should only ah should only ever return null. Is that the case? We're only ever calling this with forceAccess ever set to false so it is the same as if the if check did not exist and only the else ever exist. And we're going to get that same complain; get declared field.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
By the way I just realised I have not rerun the tests unlike the first time I talked about validating my apporoach and I think it's because I got a little cocky. But it looks like we have had something change here so I'm just going to look at that.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How are you navigating through the code now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am just looking at the red lines. [1:06:03],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
...That's all I don't want to change this. Down here. Right because of this...,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok so I've done a bunch of changes here I'm just going to rerun the tests. Technically I was supposed to run that after the first time to see if my appraoch worked.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: what do you mean by after the first time? After one change?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah. Here we go testGetDeclaredFieldForceAccess. This is the one with all the trues. For some reason it's giving me compilation errors. True true null true true. Yep these are all failed looks like they don't want to test these any more because we have a bunch of tests that cover it. And over here testWriteNameFieldForceAccess forceAccess true true true true. Yeah looks like we can just nuke this as well.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It was more like I would have run it to make sure my approach worked first.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you consider one thing here because you made a lot of different changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In this particular case yes because I had to keep going and keep going and kind of ended up like sprawling about. I guess it was more like.. so the first time I did it it was this assumption that because they were separate if I took an approach to the first half and reapplied to the second half I wanted to make sure that my approach worked and I think I was trying to replicate this here. But I wonder if I instinctively knew that there was going to be an issue. Because .. this test here is failing right now so I probably missed someting. but this is good feedback. ReadField. I think this is the one I haven't actually changed yet because it's counting as compilation error. It looks like it's going to.. what happens here. ReadField.. if... so what happens if it's false? So really it just returns field.getTarget. So this is just a wrapper for field.getTrget. And it's a validation. We don't care if the field is accessible. Wait do we care? This is always going to be false. So this if-condition will never validate to true. ....,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Alright. Why is there still red in here. Two errors found - ah here they are. well we no longer actually need this forceaccess. We don't need it in the documentation any more. And we just need to remove the overloaded method because now we have two methods with the same signature which is no good in Java and the last thing here is - oh this one by default was always called with false. Oh that's weird I wonder why they called it explicitly with declared false. Oh by above I think they mean the.. I wonder why they didn't use the default parameter there.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Right. So this entire test case just fails. But that's fine because everything here is expected to be true. Ok. Looks like everything is cleaned up. And one more for writeField. So what I'm going to do is I'm just going to clean up this up and then run the tests. I feel like because how entrenched it is - let's go back to here. So again it's the same because this is always going to be false. [1:13:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[1:13:29] This is a method that's conflicting with this one again the exact same thing happened it was just running the wrapped version. I just realised something - I have been deleting things - but I just realised - I don't know what happened to my mindset I guess I just got hasty - but I just realised there was actually some preable here with some - these weren't just simply calling wrapped classes there were actually some logic in here that I might actually not have preserved. I feel like I need to go back here because - yeah there is some validation in here. It's not as simple as calling writefield with false we actually have a lot of validation here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What made you realise that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know why but I did just realise it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So what are you doing now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[1:14:15] I’m just going to undo a few things. But I'll also backtrack to the diff and just make sure that I actually remove - I'm going to read this class now. writeFiel field name while this has a field - OH now I realise what I'm doing here. I was deleting the wrong thing. This is what I was meant to delete. I just got confused because I saw some red but in actual fact that was just a case where it called false by default. I'm just going to change this real quick and then look at the diff now because I want things to get to a more consistent state. I think this was confusing in here. I had made an assumption that any time we were calling the false case the method invocation would not have false explicitly set but there was a particular case where it did and I think that threw me off thinking something had gone wrong but I think that if I check the diff it's actually going to be that everything I removed was correct.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you thought you made a mistake but you hadn't.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I mistakenly thought I made a mistake. But I'm going to double check now. I don't know why they didn't just type return field here but ok. Maybe because it's OS code? Here that's what I changed. Here - yeah they just return getDeclaredField. Yay consistency please be more consistent. Same thing here. Same thing here. Like this was an example that - yeah it looks like I'm actually correct I didn't make a mistake. I got confused somewhere and I panicked a little but I didn't actually do anything weird.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you misinterpreted ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I misinterepreted a change because I kinda went into autopilot and I started changing something else and I was like wait that's not what I'm actually supposed to be doing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Oh it looks like - this forceaccess flag is actually gone. And if I look at the methods none of them require booleans as parameters which was an assumption I made and I very quickly just verify and back to here - we have a bunch of stuff that is broken.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Back to the tests?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah. I know that I need to remove this because it is all about testing that the broken is true. Because this is a well-written unit test - there is a lot of not-well-written unit tests that aren't actually unit tests - this test actually is very helpful because I know that I can safely remove it without losing functionality. That said I am going to do a diff but I'll run a test first.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Oh we have some - oh they're static final. They could be used elsewhere. I don't think that is part of the scope of this but I don't think this was broken before I used this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean by broken? The warning?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I'm pretty sure it wasn't ... You know it is part of refactoring you do want to take out stuff that isn't useful. I see this and I'm like why is this being used. But maybe it's being used somewhere and I'm just not aware of it. Where is it used actually? Only within the test. But technically anything within the same package could actually use it. I'm just going to double check when I look through the diff if any of them uses IO or D0. I think this one moreso than the other one made me look at the diff 'cause I haven't looked at it before but I think it's just because it is slightly more complicated. And because I tried doing something I didn't and I ended up being ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Oh interesting it looks like the warning wasn't up here before so I'm going to assume one of these testclasses actually used it. What was the name of it? I0. Yeah. Well I'm actually going to remove these because they are reduntant they're not being used. In a production scenario I would run all the tests and they would break. But I'm also fairly certain that IntelliJ would have told me if someone else was using it. So let's go back up here. I don't think I've actually removed anything that's going to break. I've had to change documentation but it's because it was giving me compilation errors.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: That's ok.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What source code changes did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
What I ended up doing was I changed the method signature for various methods but it effectively ended up being the same.. it was similar to the previous task of I approached it slightly differently instead of copying - cutting it out putting it into another method deleting the old method and changing it what I did was I stayed in the existing method removed the method signature changed things up and then deleted the overridden method. The reason I did that was compared to the other task which was kind of an inversion thing because this had to do with overridden methods instead the names were the same to me it made more sense instead of actually lifting the code into somewhere else - the other way to do the previous would have been delete this one and rename the other one but because it had the same name I just decided it was simpler to keep everything here and delete the overridden one or the shorter argument - the same number of argument version.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you said you changed the parameters..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I changed the parameters went to the logic and removed it also updated other methods that used the same thing checked the logic to make sure confirm that it was just a nothing was ever set specifically. And in the case that it was set specifically those were different methods and those were always set to false. And by doing that I knew that it wouldn't change because it was the same as calling it with the default so I made sure no behavior was changed major behavior was preserved. Then I updated the tests and I saw the tests and just relied on the compilation errors and I just removed them because they were not testing those cases any more.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could automate any of these changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Well there was this intelliJ one that sort of did it but then I guess it messed with how I approached the problem so I decided not to use it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So what happened there? Can you elaborate?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah what happened is once I changed it I realised I - I guess in tandem with other tools I realised that I didn't actually know what was changed elsewhere like in the tests for instance. I guess it could have shown me that the tests were broken - but for me at this point with this particular task I liked using the compiler to show me where the error were. So what happened was I realized that I didn't - because I also didn't understand the previous test well enough I didn't understand what was actually changed and I had to do an external diff to compare it. To me it was easier instead of doing that to just use the visual diff of the red and do that. And that's because I found it more intuitive or I guess .. more .. less .. less reliant on other tools because I guess the java compiler is such an ubiquitous thing and I am just leveraging that.,"Reflection
Not Predictable
 (“didn't actually know what was changed elsewhere”)
 Not Efficient
 (“To me it was easier instead of doing that to just use the visual diff of the red and do that.”)",,1,0,0,0,1,"<1,0,0,0,1>",0,210-219,0,0,0,0,0,1,0,0,0,1,
I: It took quite a long time and it seems the tool could have done some of those changes faster?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It might have that's a thing I'm not .. 'cause I did change it and remove it but I still found I had to do some of those things manually. Based on what I did the first time around I evaluated it and I thought it was not that much faster with that I was doing. And I figured that my familiarity with my current thing would have made me just switch back to it. Is it worth it for me to use this I guess untested tool now and I decided that I'd rather just finish it up faster. I think we can conclude people are set in their ways.,"Reflection
Not Efficient 
 (“it was not that much faster with that I was doing.”)
 Not Trust 
 (“untested tool”)",,0,0,0,1,1,"<0,0,0,1,1>",0,,0,0,0,0,0,0,0,0,1,1,
I guess what happened was I was confronted with something that made me uncomfortable and made not as sure as my current process and so I decided to revert back to it. What happened once I reverted to my process I found it more intuitive and I thought it ended up being faster than the other one. Because with the other one I would have kept checking kept looking over my shoulder the entire time.,"Reflection
Not Satisfaction
 (“made me uncomfortable”)
 Not Efficient
 (“I reverted to my process … I thought it ended up being faster than the other one”)
 Not Trust 
 (“I would have kept checking kept looking over my shoulder the entire time. “)",,0,0,1,1,1,"<0,0,1,1,1>",0,,0,0,0,0,0,0,0,1,1,1,
I: You would have kept looking over your shoulder.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would have felt more than normal like I might have missed something.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that because you don't trust the tool?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah a little bit. Yeah like when I used the tool I was like wait did change and I ended up having to look.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you use the preview window?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah - what exactly happens - because I thought I used it and I didn't really see much. It kept taking me out of it and I thought - I think having something .. I think having like an active - instead of jumping back into the code I was expecting to see a before and after and I didn't see a diff and maybe there was one but I didn't see it and I was expecting to see a diff.,"Reflection
Not Satisfaction 
 (“was expecting to see a before and after and I didn't see a diff”)",,0,0,1,0,0,"<0,0,1,0,0>",0,,0,0,0,0,0,0,0,1,0,0,
I: Do you know of any other tools you could have used?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you normally have solved this kind of problem?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Pretty much like I just did.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If you normally don't use a tool for it how do you organise your source code changes? How do you ensure that you changed all the things you need to do..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Relying on the test results. Relying on unit tests looking at the tests as well and the last for me when I work in teams I will rely on code reviews as well. I always just double check my approach like hey I changed this and then have my team review it but I know that doesn't always work when everyone is busy. But honestly it's just looking at diffs and testing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So git diffs and unit tests?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah. I'll make sure I look through it look through the unit tests and see that they're welldefined. Usually it's a little more complicated and there are other changes too so I usually go through the test cases more thoroughly.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: And if you make some small mistake change some code you shouldn't have changed or similar then now I think you were backtracking with your undo option,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I was lucky in a position where I could do that. Otherwise I would have looked at my diff and restored it from there.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Right. For this task is there any of your changes you're unsure you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
During the task during the changes yes! There's was that point where I thought I had accidentally not taken out the overridden thing but other than that - which I quickly reconciled by looking at the diff - now I'm fairly confident that it is fine. I guess the only thing I'm unsure about but I did go through the diff of the test and I looked at what was tested..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: There are some other refactoring tools that sort of match this and I'm curious how you feel about those. Why did you pick change signature?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That seemed like the appropriate thing because that is what I was doing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What about Inline Method?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It sounds familiar. Which tool is that one?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Inline method takes the method of a method declaration and replaces a call to a method with its body so it essentially expands it. So it's similar to what you did in the previous one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I see. Honestly probably because I didn't really know that one. It looks familiar because I've seen it but I've never used it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You didn't know what it did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
...know.. I've seen it but I didn't know what it did. But that sounds way more useful and I probably should have used that because that is actually expanding the call like paste in does. I think it depends for me the more automagical it gets the less I trust it. To me Rename is simple. I like Rename I can quickly Rename I can see what is Renamed et cetera.,"Reflection
Trust
 Efficient (“quickly”)
 Satisfaction (“like”)
 Predictable (“see what is Renamed”)",,1,0,1,1,1,"<1,0,1,1,1>",0,239-241,1,0,1,1,1,0,0,0,0,0,
I: What is simple with it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is effectively a very specialized find-and-replace - I guess they all are. To me it just feels like it doesn't do anything - it doesn't feel super fancy. Like compared to this method signature one where it changed a lot of different places - maybe because I'm just more familiar with it but it just seems more - I guess it's because it's more similar to .. I'm not sure.. why do I ..,"Reflection
Predictable
 (“it doesn't feel super fancy. Like compared to this method signature one where it changed a lot of different places”)",,1,0,0,0,0,"<1,0,0,0,0>",0,,1,0,0,0,0,0,0,0,0,0,
I: I am curious about the way you perceive these as different for example rename and change signature.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think one of the reasons I chose change signature i that it seems kind of similar to rename to me it updates this method everywhere else that uses the same signature. [1:33:12],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
As to the other thing Inline Method that sounds like much - that's effectively what I ended up doing if you're using some nested method you may just copy and replace with inline and delete the old one - that might have been slightly faster I don't know how much faster though. I haven't used it that much so if I was to use Inline Method I'll be like so let's see. So if we had a case where you'd call here like target.. no wait ReadField so if I did what is it refactoring,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you expect will happen now before you do it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Based on what you told me I am assuming that it will effectively copy and paste the text in here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would that preserve the behavior you think?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Of what?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Of this method.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No if it is as simple as I thought it wouldn't because it'll say return but then it will be the first like of the method. But I guess I don't know what intelliJ ..,,Invoke (Inline Method),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline Method
Inline and remove the method inline all and keep the method inline this only and keep the method. So ah to me what happens is I feel like this .. I wonder maybe it's my personal experience but we're not really taught this particular terminology. Either that or I didn't pay attention in class. But to me it's like - for example when I was asked in the questionnaire about more formal refactoring I guess it's like when I was taught design patterns I was like what are these things and it sounded more daunting then I was shown it and I was like ah and now I can use design patterns because I've learned the vocabulary. But it's not something I would have done ahead of time. And I think these refactoring patterns because I'm sure people talk about them but I haven't learned them in a course in university and I'm sure that's probably why. But I'm not sure. When I'm seeing this I'm trying to infer what it means by inline all remove the method inline all keep the method inline this and keep the method. I'm assuming inline all remove the method means find everything that matches this type of inline and remove it inline all and remove the method it's straightforward it's going to remove the method that this is calling so it's going to remove readField and inline this means that I'm going to inline this particular occurrences. I have a feel that it's just going to replace everything and return the end of the same inline field but we'll see.,"Invocation
Predictable (describes what they each do)",,1,0,0,0,0,"<1,0,0,0,0>",0,250-258,1,0,0,0,0,0,0,0,0,0,
[1:36:20] What did I press? I just pressed undo by the way. Yeah inline keep the method there is no preview but.. Uh.. what did it call beforehand? field and target. Oh yeah looks like it worked quite well.,"Invocation
Effective (“worked quite well”)",,0,1,0,0,0,"<0,1,0,0,0>",0,,0,1,0,0,0,0,0,0,0,0,
I: So now you just undid?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah I just undid because I wanted to see what the difference was. This is literally just me playing around with it trying to see what it's doing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you wanted to go back in order to go back in order to compare this with the result of yor refactoring.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah and obviously I want to see what this method does. yeah so it literally just replaced it. Huh. That is quite useful. That would have saved me a lot of time.,"Reflection
Efficient (“saved me a lot of time”)",,0,0,0,0,1,"<0,0,0,0,1>",0,,0,0,0,0,1,0,0,0,0,0,
I: Do you think you would have used that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes because I feel like inline now that I'm understanding it it looks simple enough that yeah I would have probably done that if I knew that this tool existed then yeah,"Reflection
Satisfaction",,0,0,1,0,0,"<0,0,1,0,0>",0,,0,0,1,0,0,0,0,0,0,0,
I: Would you have prefered that to the change signature one?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. Because change signature changes things in a lot of different places whereas this changes one thing here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Because you selected to just use it here. So would you select to use it on each invocation then?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I might try it like that first since I'm just starting to get comfortable with it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you talked about whether you trust the tool or not but what about predictability what does it mean to you that a tool is predictable or that you trust it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Trust from me comes from having worked with it and understand it. Predict is more like actually like earlier when the context menu came up with three different options I think that is pretty predictable because I was like I think it's going to do this when I press this. Like rename is really predictable because it's like I'm going to rename this and I think at least in Eclipse it says I'm going to rename it here here here and here. Predictable is nice because it lets you feel in control. When something is unpredictable you don't. What happened with that method signature maybe it was the way I used it but it ended up being unpredictable and I was like I don't know what's going on and that leads to lack of trust. Predictable means that it behaves in a way that I can I guess it doesn't violate any assumptions.,"Reflection
Trust
 Predictable",,1,0,0,1,0,"<1,0,0,1,0>",0,264-264,1,0,0,1,0,0,0,0,0,0,
I: What about correct whether a tool is correct or not?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Obviously I like if a tool is correct. But for me if a tool is predictable enough I can sacrifise a little correctness because if I know what it's doing I can correct it after.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What is an example of correctness you can sacrifice?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Like for example if that inline tool had replaced that particular text and kept the return at the top and I'd had to manually delete it I'd been fine with that because I'd have known that it just replaces everything from here and out it's like a glorified paste.,"Reflection
Satisfaction(""I'd been fine with that"") 
Predictable(""I'd have known that it just replaces everything from here and out"")",,1,0,1,0,0,"<1,0,1,0,0>",0,268-268,1,0,1,0,0,0,0,0,0,0,
I: But you'd need something to tell you it was wrong like,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The compiler would tell me it was wrong,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
