Task 1,,,Predictable (8),Effective (0),Satisfaction (3),Trust (2),Efficient (1),Vector: ,Invoke (3),Row Range, Predictable (3), Effective (0), Satisfaction (0), Trust (0), Efficient (0),Not Predictable (5),Not Effective (0),Not Satisfaction (3),Not Trust (2),Not Efficient (1),Refactorings
That's too many. That'll probably guide me to one of these guys. What is the name of this guy? ReadField.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Find usages. [1:13:21],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is 26 usages. so this is forceaccess. It should be fine to remove this one. [1:13:42],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then I get a bunch of invalid. And I have more in the writeFieldForceAccess. These guys can go as well. I'm double checking that all of them are true.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
get a bunch of invalid. And I have a readfield with false. Now I can remove this. [1:14:28],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Hm this is interesting.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you notice?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think I deleted something here probably?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm double checking that. [1:15:22],,git diff,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
getDeclaredFields . Yeah.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you explain what happened?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I deleted.. readfield calls readfield with three arguments and here it is calling itself and that's interesting because I forgot that I had deleted it so I thought I was calling something else. Now that this is not being used I have this grayish line [1:16:03] so I know that nothing is using it so that means that I can use this somewhere else. That's basically what I thought. This guy calls this other one. This should be the last one I need to change. Return readField. Forgot one line [1:16:35],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Wait what?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
How.. [1:16:49],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I have readfield and even in this one it calles itself? It is false here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Where are the return statements of this thing?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Return readfield and it is false. This is weird. Now I have to get back to my git diff. I don't understand.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What don't you understand?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In the readfield method I should return something and I don't get how it is calling itself and this is working.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you looking for in your diff?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I want to see the old signature. [1:18:17],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How do you make sure that it is the same method here?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is just the name. I call it with three then I should have the delete.. getField getField.. [1:18:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This should return something [1:19:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Target field.. forceaccess.. this is really weird. So technically this should work. [1:20:01],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Last one. GetDeclaredfield. Should have no forceaccess.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
writeDeclaredField. then I can delete this one. [1:20:44],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And final one. Should be this one. So I have forceaccess here. getField.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Forceaccess getDeclaredField.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Now you're moving between compiles errors?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I am moving between compiler errors. And I'm undoing because I saw too many errors here on this side. [1:21:23],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: When you notice too many errors and you undo what is your next step?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Often try to locate a different place to work. Right now writeField is smaller than the others and that's where I am going to .. true.. delete this. There is one last guy I can call this without forceacces. Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So because I made too many changes so far I'll run this to see how bad things are. [1:22:27],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I made too many changes and I am not sure about that. Ideally I should have changed one method signature tested changed one method signature tested and so on. But it's not that bad because now I have only one test failing. And I want to see what's happening in this one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
test.. file..readfield.. [1:23:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And I have an error. Pass fields. Read file. Wait.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This value is not being used that's wrong.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*counts* [1:24:07],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think I forgot to copy something so I'll just double check.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I undid because when I ran this test I got an error so I was checking this past behavior. [1:24:56],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
if forceaccess. I don't have forceaccess any more so this should be like this.. [1:25:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then there is another one. I will run this again.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yep it's still there. Probably I don't know .. readFile. TestWriteReadfield .. How many parameters do I have here? 1 2 3. 1 2 3. Oh ok.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you realise?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Just method override. I'm getting rusty with it. I was deleting stuff and moving stuff around. Then it seems that these are getting the class and the field and the field is not null. So now I can writeField - test the field object - and then target value I think.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And this should work.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why do you think you had to write that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is a lot of override in this class so when I was deleting and moving things around I didn't realise that. On one hand it is nice because I can learn more about the code and how this works in case I need to do that more in the future. [1:28:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
A few minutes ago when I was in getField or readField I was like how does this work. This one calls itself. It's actually not it's calling someone else. The only thing that this method does the one with object readfield object [1:29:06],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
it casts this target object to the field class and then it calls the other one. I wondered how it wasn't getting a stackoverflow but now I realise that it is passing it on to someone else. I would not have noticed that if I was relying on automatic refactoring tools.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
On one hand it may take longer for me to do the task but on the other I am getting more familiar with the code.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think there is one last it's the one that I went 'woops' when I deleted. But now I know that when I delete it there should be more than one place to refer to.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This one does the casting as well. [1:30:35],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I'm curious about something. You first deleted the parameter even though you were going to delete the method signature. Why did you do that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know. What did I do? [1:31:11] Oh yeah. As soon as I do that that means I'll get a compile error of yet another method with the same signature. So this one target and fieldname is the same as this one so I know where this one has to be moved to. then that's ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So just to help you navigate?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Was it kind of a wasted action otherwise? Since you were going to delete it anyway.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Otherwise I wouldn't have known where to move it to.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think there is one last guy with forceacces. I did find .. [1:32:02],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
yes this one. This should be removed. [1:32:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
setfield accessible true,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Again I have the error and I know ..readfield target. [1:32:53],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Where was I?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
DeclaredField.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Wait.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you doing now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm trying to find the last forceaccess but when I deleted it I saw something weird. There were errors in more than one place. So this readField it might be used by a lot of guys. Find usages. No it's only this one. So why did I have compile errors in more than one location. I don't know. [1:34:07],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Righ now I have one compile error. And now I have compile errors in more than one location. Oh it's because of all the callees. So forceaccess an go. And then it should be gone. Ok. Run this guy again. I'll run the entire class. [1:34:55],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know if you noticed but when I did the flips in between there were a bunch of errors here but I never had to touch them because I did a bunch of things in between that minimized my work.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
When I was doing the changes at some point you asked me why I undid something I had done and I said it was because of too many errors. So I gave up on that and moved to another location and then I never had to touch any of the errors on the right hand side. So I think I did something different that resolved the errors or I deleted them I'm not quite certain. But I am sure that I didn't touch the test file as much as I was supposed to.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you're telling me that you got some compile errors in the test file and they went away and you don't know why?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't. So that's... but I do know that I didn't do as many changes I was expecting to when I saw how many errors there were. I didn't do that many changes in the test file. [1:36:31],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This is a forceaccess it can go. Perhaps it's these ones that are force.. no more tests with force. Now I want to run everything again and see what happens.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This one was the hardest. [1:37:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There you go.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah I'll probably just go over the git diff but I think I will.. yep no more references to forceaccess. I think I am done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What source code changes did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Moved blocks of code to methods that were being overriden and code deletion mostly. It's not that different from the previous task but there were more places to touch.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you explain in a bit more detail? [1:38:48],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There was a forceaccess method signature and all the other methods were calling that one with the parameter set to false. When I tried to delete this method I had to move the content from this method to the ones that was using it. That was for readField writeField declaredField .. I was moving all the content from these particular signatures to the ones that was calling it with the default parameter. When I had done that I could safely delete it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: And then you changed the tests as well?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes but for most of them it was code deletion because it didn't make sense to test something that was tested by another method. Again there were two signatures for each method and I made sure that there were still tests for one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you organise your source code changes? You seemed to shift the organization while you worked.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That is a good question. A bit of trial and error. Trying to delete things and being guided by the compile errors. That is one of the benefits of a compiled language. You know where you are touching and some of the consequences. This one is fairly small. In a larger project as soon as I delete that i would see more things than the tests. Imagine that I delete X and there would be another 3-4 classes outside of the tests that uses X. Then I couldn't be guided with only visual cues for that, but for some scenarios there are maven so I could use the errors in maven. I am not used to building the project in the IDE.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Is that why you use mvn, to get it in a textual format?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Most Java projects are maven projects these days and whenever I have the option to work in the terminal,I prefer that. Even though the IDE is helpful it has a lot of indexing and things happening under the hoods, and that takes time and I prefer to write most comments in the terminal because it is faster. Then I can keep swapping between that. Getting back to the question, because this is an API and I am expecting my clients to use them, so the burden is on them. What I did was, I kept swapping between the files, and see how many errors I got and I tried to minimize the errors to know the places I had to work first and that seemed to work so i'm happy.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you have used the same apporach if you used maven to see how many errors you got and backtrack?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes same thing. Probably I would have two windows as well. [1:43:26],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think the IDE is too bloated. Seeing all the errors in a small window like this one and trying to navigate it, clicking things, deleting things and trying to get back here it's quite hard. Whereas, in any terminal window it's static and I'm sure there's only going to change when I run a new command. 
 I don't know if you saw it, when I searched for something, I had a bunch of invalids in this window. That's annoying because when I go back there I can't see what I did any more. Whereas, if i had that information somewhere else it's easier to remember what I did, where I went to and backtrack.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you organize moving between changing the tests and the code inside the class itself. Sometimes you would go to the tests when there were errors and sometimes you would ignore those errors and keep working inside the class?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I started to realise some patterns. For example when I deleted some of the methods here with the illegal argument. In the beginning I went to the tests because I was not familiar with the class but as soon as I realised that there was another test testing the signature with a different parameter I knew I could delete the tests without being concerned with that. Throughout this task I started to realise these small patterns. In the beginning I was looking way more into the test cases but then I started ignoring it because I started seeing these things.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that ...,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There may be a bunch of them I'm not sure. Not that I know of.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you consider using such a tool another time?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Perhaps? But again, it has to be very stepwise because I don't want to rely on a tool that will not help me become familiar with the source code. [1:46:37]","Reflection
Not Satisfaction (“I don't want to rely on a tool that”)",,0,0,1,0,0,"<0,0,1,0,0>",0,302-302,0,0,0,0,0,0,0,1,0,0,
"I'm quite certain that if I had to change this file again I would do it much faster because I started to see these dependencies. For example that thing casting a generic object to a field object, and if a tool does not give me that level of detail, when I try to use it to change the code it is not reliable. [1:47:08]","Reflection
Not Trust (“not reliable”)",,0,0,0,1,0,"<0,0,0,1,0>",0,303-303,0,0,0,0,0,0,0,0,1,0,
It pays off in time in the beginning but in the end when I have to do a really big feature change I will still be unfamiliar with the code. That's what I'm trying to avoid. I'd rather lose more time now in small changes rather than later on.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that true even if you're switching projects? You might not be working on this code for a long time in some imaginary scenario.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In such a scenario I would probably update a wiki or something for the next person to know that. The knowledge is not necessarily for only myself. I assume there should be some documentation or something there such that the next person will have less work than me.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: what kinds of things would it say?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
…no that's not a good example. [1:48:36],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
For example this guy readfile with object and this other one reads the exessible and there is no class. [1:49:07],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The minimum example would be updating this documentation with this method uses the target class for reflecting on what field is being accessed and it caused that overload.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you think that should be part of the documentation or a wiki?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It doesn't matter. It is verbose and all of these things are the same. And there is actually a notation at see. I don't expect this to be a copy-paste of this but rather to explain the difference. It is done but in a very bad way I'd say. It's not distinct enough. You have to be aware that this target here is quite different from this field and you don't know that because there is still a target here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It seems when you are working on this task and in particular the first one you wanted to make small readbility changes while you were working?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Of course.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If you were using an automated tool would that detract from your ability to do so?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not necessarily. That depends on what the tool is doing. I think that .. you are asking if the tools would be able to do the small changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: No. Say if the tool solved your problem say through a refactoring menu but it would take you through the code in the same way. Would you go and read the code in addition in order to be able to do all the readability?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would do all the readability changes regardless. I would expect the tool to guide me through the code so I can double check the code and see how I can improve it. [1:51:52] If the tool is able to pinpoint me to all the location it is touching so I can backtrack to these places later that's fine. I don't want a button that just says it's done and then I don't know where unless I do a git diff or something like that.,"Reflection
Not Predictable (“I don't want a button that just says it's done and then I don't know where”)",,1,0,0,0,0,"<1,0,0,0,0>",0,318-318,0,0,0,0,0,1,0,0,0,0,
I: You said that you wanted the tool to be very stepwise what did you mean with that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
When I'm doing a refactoring or let's pick the least complex example and expand from there. Say extract constant I use that refactoring because if I say replace all I see all occurrences and I see all of them flagged in that file. And that is stepwise for me because I see all the places the tool is touching and I can jump there later. But if a tool is like move to caller I want to see what kind of block is going to be moved and who else calls this function or at least see all the places of usages so I can touch these places later. Because otherwise how can I delete this and know where else needs to be checked. All these examples required deleting tests but none required flipping behavior. If a tool do not point me to a place where the flipping needs to happen then I would have the problem of doing a refactoring and not knowing if the behavior of the test should be the same or the behavior of the code.,"Reflection
Predictable (“I see all of them”)",,1,0,0,0,0,"<1,0,0,0,0>",0,320-320,1,0,0,0,0,0,0,0,0,0,
I: What do you mean with flipping behavior?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Say you have return true and you have a bunch of tests with expect x to be true and because of some feature it should be false. When I run this code all of these tests will be broken. Some of the refactoring tools move the code and when I run the tests later I get an error and I don't know if I have to update the tests or. Ideally I would want to see all the places before doing anything. That's one of the reason I was flipping between. I wanted to only delete the tests when I was sure they were disposable. This should not be deleted this should be expect x to be false. [1:55:23] Right.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So ideally I would first update these guys before doing anything here so when I run them after the refactoring I would still get a green bar. And I expect tools to help me with that. When I say I'm moving these somewhere else I would expect the tool to say these are being used by x y z do you want to take a look at this? Or leave it there and let me navigate through the code. And once I understand that code I realise that what I want to do is fine I can say move forward. That's what I mean by stepwise.,"Reflection
Predictable",,1,0,0,0,0,"<1,0,0,0,0>",0,323-323,1,0,0,0,0,0,0,0,0,0,
I: In this case it sounded like when you were talking about it with refactoring you referred to the code and you talked about changing the tests almost like a separate thing. Did I get that right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes because. I don't want a refactoring to touch the test cases. The tests exercises the code and if the refactoring touch the tests as well then I get back to the problem of did I change the behavior of the code or did I change the tests of my code and now I don't know which is the correct one. Imagine if you had these as services this guy would live in a different project.,"Reflection
Not Satisfaction (“I don't want..)”",,0,0,1,0,0,"<0,0,1,0,0>",0,325-325,0,0,0,0,0,0,0,1,0,0,
I: The tests would live in a different project.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. It's just a way to say it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you usually use any refactoring tools?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. Extract method extract constant. None of the big ones.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What would be a big one?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Moving functionality from a child class to a parent. I wouldn't rely on a refactoring tool for that because of my workflow. I wouldn't know who is using that thing and I want to know because I want to improve my understanding of the code for the future.,"Reflection
Not Predictable (""I wouldn’t know who is using that ..”)",,1,0,0,0,0,"<1,0,0,0,0>",0,331-331,0,0,0,0,0,1,0,0,0,0,
I: If you use refactoring tools how do you make sure that they are correct?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Tests. I remember once that I had to do this thing of changing some database layer in one system and there were almost no tests there so before doing any refactoring I wrote a bunch of them. In the beginning I regretted it but then I found a bug. I was kind of like 20 different query parameters you coudl have and in one of them something was wrong. I only caught that because I had tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did that become wrong because of the refactoring?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No it was the functionality that was wrong. But if I had done the refactoring before and I wrote the test later I would not have known if it was because of the refactoring or it was a bug there.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you summarize why you would usually use or not use a refactoring tool in this kind of task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I use a refactoring when the changes are small enough that I am fully aware of where the code is going to change. Otherwise I prefer to do things manually. I konw it's more labor intensive but that helps me to get more familiar with the code and learn how I can improve the readability of the code. I'm picky with readability.,"Reflection
Predictable 
 (""I am fully aware of where the code is going to change”)
 Not Efficient (“I know it’s more labor intensive”)",,1,0,0,0,1,"<1,0,0,0,1>",0,337-337,1,0,0,0,0,0,0,0,0,1,
I: Any more qs?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
